participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
20,137.93645873552563,"[2.5162449904801845, 0.3841944600495983, 0.3521164365723686, 4.446807837185392]",[1.00000000e-04 3.06525264e-01 9.99900000e-01 1.00000000e-04],"[np.float64(0.37794517382637466), np.float64(0.03415991854865689), np.float64(0.07016373962820543), np.float64(-5.709368808768212e-05)]",283.87291747105127,297.0661869372434
21,131.41374921402812,"[1.448657716690015, 0.7041452749924002, 0.8292491358211728, 1.9429188953844712]",[0.26158936 0.59615031 0.16911575 4.9999    ],"[np.float64(0.034189978383548876), np.float64(-0.00805495254411955), np.float64(0.20186102349908017), np.float64(0.16574466223732376)]",270.82749842805623,284.02076789424837
22,107.02407431667602,"[1.896761052107489, 0.5606180108956699, 0.5401727663349007, 1.8744066074649106]",[0.15263699 0.02310126 0.96231095 4.9999    ],"[np.float64(-5.886013490136995), np.float64(-20.045211387185223), np.float64(-8.84658758518454), np.float64(-15.20244522677521)]",222.04814863335204,235.24141809954418
23,137.14964217055245,"[4.338126938202266, 0.42408899723464855, 0.002771987874306371, 3.0469136782643247]",[0.05013657 0.06007341 0.0001     0.0001    ],"[np.float64(0.07255554632094215), np.float64(2.694045785345167), np.float64(6.182698914174084), np.float64(0.04458562206828353)]",282.2992843411049,295.49255380729704
24,108.91219331795232,"[0.3892873148003269, 0.08929592505438395, 0.8688036673088525, 4.2012005799261045]",[0.36326731 0.11761245 0.21977952 2.26536762],"[np.float64(-4.682763584686981), np.float64(-2.1729306100894092), np.float64(-0.7878831258452729), np.float64(-0.8134686291779294)]",225.82438663590463,239.01765610209677
25,19.073162941801183,"[3.8886807854131984, 0.7862774041717923, 0.29813783936335647, 4.47562450076322]",[4.80900929e+00 1.00000000e-04 8.99841965e-01 1.00000000e-04],"[np.float64(0.4685121494233913), np.float64(7.845288537633631), np.float64(0.4759011727963517), np.float64(3.556291292741919)]",46.146325883602366,59.33959534979451
26,94.6200205441283,"[4.836064208768378, 0.22956091334359857, 0.7629114066406958, 2.8413843506362553]",[1.90379935e-01 3.01883792e-02 1.00000000e-04 4.99990000e+00],"[np.float64(8.308985220825631), np.float64(-5.371894314029311), np.float64(11.867477013384772), np.float64(0.8968387007796002)]",197.2400410882566,210.43331055444872
27,133.38336169442877,"[4.978344542713742, 0.23383286400377176, 0.3540251394243206, 1.2614611034579173]",[4.79551357e-03 1.90780619e-04 1.00000000e-04 4.99990000e+00],"[np.float64(-59.25989037657321), np.float64(-199.605659173733), np.float64(-71.32355846517933), np.float64(-176.81574138391696)]",274.76672338885754,287.9599928550497
28,116.66328010228982,"[3.423226805866101, 0.6951188466058217, 0.4018462820492231, 3.0968262616215183]",[6.03614489e-01 1.22851819e-01 3.38921966e-01 1.00000000e-04],"[np.float64(1.6917025814890119), np.float64(0.13603117630754602), np.float64(0.9258448126210737), np.float64(0.1446253243698018)]",241.32656020457964,254.51982967077177
29,111.00043755790162,"[0.2770517957334921, 0.2902093421969763, 0.7468239181957049, 2.3653592852705376]",[1.26708887e+00 4.46458023e-01 2.58925288e-01 1.00000000e-04],"[np.float64(0.01115865438801308), np.float64(0.43080909952408913), np.float64(0.18375422359044646), np.float64(-4.161915530813383e-09)]",230.00087511580324,243.19414458199537
30,123.31059230390997,"[3.7126219805427585, 0.10546425071052591, 0.6957788942165538, 3.7838281079881932]",[2.08063352e-01 3.62960827e-02 1.00000000e-04 1.11491635e+00],"[np.float64(2.031265827016312), np.float64(0.21010972591380503), np.float64(1.6624149420178993), np.float64(0.2920270351274195)]",254.62118460781994,267.8144540740121
31,54.029438804081515,"[0.2899195662828579, 0.9418705806064344, 0.11553351974289405, 2.0336397771836325]",[0.39874001 0.01371011 0.75155433 4.9999    ],"[np.float64(-0.26852602138680765), np.float64(-0.15016917239961705), np.float64(8.316852323558681), np.float64(0.20834392953079522)]",116.05887760816303,129.25214707435518
32,123.84000577716083,"[0.6149879792588102, 0.3548066411644618, 0.7476840079480118, 0.22309820289965912]",[2.09724363e-02 1.00000000e-04 9.99900000e-01 4.99990000e+00],"[np.float64(-35.17757396749447), np.float64(-75.11591132384815), np.float64(-53.86640923378839), np.float64(-99.07426465949194)]",255.68001155432165,268.8732810205138
33,123.73483731180819,"[2.242883036926266, 0.8252024176464616, 0.02882878163266743, 3.360787717478499]",[2.23614873e-01 9.99900000e-01 1.00000000e-04 4.99990000e+00],"[np.float64(-4.99911478811299), np.float64(-4.999538750912777e-16), np.float64(9.999614525262264e-05), np.float64(-4.9993720235020376e-08)]",255.46967462361638,268.66294408980855
