participant_id,best_initial_guess,best_parameters,EV_Gau,EV_Dir,best_nll,AIC,BIC
1,"[2.977661966868848, 0.5868178575305147, 0.7589806839460035]",[6.36861029e-01 3.10130208e-01 1.00000000e-04],[0.82400292 0.04094621 0.52238284 0.25889956],[7.72574908e-01 7.52088624e-05 2.23025437e-01 4.32444642e-03],133.05048211987895,272.1009642397579,281.995916339402
2,"[0.5722145341523704, 0.8486796778215383, 0.37584277094452045]",[1.93070046e+00 1.00000000e-04 7.40140822e-01],[0.21119679 0.20971739 0.21045113 0.20964328],[0.40955497 0.15877906 0.19283249 0.23883349],137.63256561940358,281.26513123880716,291.1600833384513
3,"[4.879414998065385, 0.18639487231092963, 0.9717700717234007]",[3.48693297e+00 2.17659906e-02 1.00000000e-04],[0.80357862 0.84872625 0.92508825 0.8797035 ],[0.30196726 0.00550988 0.68701299 0.00550988],76.10109002503921,158.20218005007843,168.09713214972254
4,"[0.41575737513737643, 0.30890816189344483, 0.7935864474433674]",[0.90317721 0.04637148 0.97922526],[0.47828504 0.28091954 0.66907619 0.13502891],[0.3591258  0.27068588 0.25370709 0.11648123],136.199600110253,278.399200220506,288.2941523201501
5,"[0.6592020569991895, 0.14633923137813873, 0.08269740962536719]",[1.02945045e+00 3.99217902e-01 1.00000000e-04],[0.56984637 0.09160187 0.55589063 0.32625011],[2.11429278e-02 4.47339849e-05 9.77232164e-01 1.58017472e-03],115.6676998891337,237.3353997782674,247.23035187791152
6,"[0.8344311705935675, 0.9113350834399508, 0.09161467741337981]",[6.61288098e-01 1.34371233e-01 1.00000000e-04],[0.81527681 0.3424796  0.67998348 0.26759975],[5.16574363e-01 2.45912984e-04 4.83051615e-01 1.28108486e-04],135.07574592128339,276.15149184256677,286.0464439422109
7,"[2.079199674279334, 0.27060618384078733, 0.8662133840226868]",[1.50192437 0.03379279 0.9762675 ],[0.73758443 0.66035552 0.70848236 0.54475229],[0.48230619 0.00795391 0.50407088 0.00566902],99.92879262006883,205.85758524013767,215.75253733978178
8,"[3.4277295411159967, 0.9772272620273642, 0.6041359690466298]",[4.9999     0.28752845 0.9999    ],[0.63713869 1.05333218 0.49340012 1.05333218],[9.99639146e-01 1.16001875e-17 3.60854293e-04 1.16001875e-17],38.616270779442075,83.23254155888415,93.12749365852827
9,"[2.5929095071932733, 0.5166097007912177, 0.2534236717302338]",[1.19633744 0.18578266 0.9999    ],[ 0.48845349  0.24651925  0.58915197 -0.14828926],[0.02136377 0.23611302 0.7396449  0.00287832],113.00874646972396,232.01749293944792,241.91244503909203
10,"[0.16807081306257335, 0.32284306765480675, 0.7680241660581851]",[1.38417994 0.13693289 0.76801802],[0.65928831 0.40094187 0.60690359 0.34749316],[0.42363403 0.02128607 0.52114251 0.03393739],108.1016642818798,222.2033285637596,232.09828066340373
11,"[1.9438033754717219, 0.10618086465659958, 0.4810876326978541]",[2.52125598 0.00488018 0.81246494],[0.3812749  0.31596608 0.38205584 0.29978112],[0.42544351 0.07286318 0.41843307 0.08326023],111.42177937373398,228.84355874746797,238.73851084711208
12,"[0.8894322257634006, 0.4194257183192866, 0.7058152973596248]",[0.0001 0.0001 0.0001],[0.354926   0.35390605 0.35494622 0.3533438 ],[0.36148706 0.1927142  0.28923929 0.15655944],137.93628968095396,281.8725793619079,291.76753146155204
13,"[1.5570598748499143, 0.1693158534483462, 0.8078126526300244]",[1.41385275 0.03357867 0.65191436],[0.78573581 0.81860855 0.91754755 0.79755737],[0.26902355 0.00169282 0.69672633 0.0325573 ],109.80437399451773,225.60874798903546,235.50370008867958
14,"[1.6246081455266337, 0.2873774284963842, 0.001742495651876563]",[4.99990000e+00 6.15423676e-04 1.00000000e-04],[0.41265151 0.40668047 0.41441701 0.40631373],[0.35627694 0.14425376 0.40885969 0.09060961],118.68036549006275,243.3607309801255,253.25568307976963
15,"[0.17764204147841176, 0.3589809089132171, 0.2781436672454313]",[6.94155605e-01 3.08174755e-01 1.00000000e-04],[0.80782947 0.02886153 0.84178743 0.30313097],[9.27104855e-01 3.85916950e-05 6.45068423e-02 8.34971139e-03],131.68213402385717,269.36426804771435,279.25922014735846
16,"[2.5364475027676563, 0.16008305668740516, 0.25608004443230276]",[0.84951516 0.45899777 0.008125  ],[ 0.34810783 -0.06662097  0.60503613 -0.14858642],[2.81637813e-01 1.18749291e-09 7.18362102e-01 8.43936455e-08],126.62444946399893,259.24889892799786,269.143851027642
17,"[3.5314655618667183, 0.3179131134177577, 0.8116116897538965]",[8.46814943e-01 7.27608190e-02 1.00000000e-04],[0.60030352 0.29668985 0.81416188 0.16249053],[0.2994281  0.08403662 0.60795358 0.0085817 ],131.80174363652569,269.60348727305137,279.4984393726955
18,"[0.13938591320388305, 0.09669566970354176, 0.9489917646037143]",[3.43655003e+00 1.00000000e-04 9.44618100e-01],[0.62840983 0.62705396 0.62834431 0.62715344],[0.46276624 0.07404555 0.31512888 0.14805934],135.75561808935106,277.5112361787021,287.40618827834624
19,"[3.5803295483039825, 0.4751999918064275, 0.3833093805010529]",[0.20407076 0.9999     0.6124315 ],[0.53666936 0.8232263  0.82497277 0.30271715],[9.9990000e-09 9.9990000e-01 9.9990001e-05 9.9990000e-29],137.18447273726085,280.3689454745217,290.2638975741658
20,"[4.218744108882452, 0.07170127576003366, 0.08918772339656905]",[0.52790341 0.01087906 0.99989999],[1.00539742 1.00211771 1.05582339 0.89796714],[0.40348332 0.08993121 0.37427699 0.13230849],137.20356134429076,280.4071226885815,290.30207478822564
21,"[0.8852287790109434, 0.07964737281278537, 0.1060174361659538]",[6.24058016e-01 1.25999178e-01 1.00000000e-04],[0.54035581 0.3525281  0.81190689 0.45716315],[0.25556891 0.03225431 0.32784017 0.38433661],135.51344936542347,277.02689873084694,286.92185083049105
22,"[0.9605717636808723, 0.15888794481754687, 0.11903374328148217]",[1.2609422  0.13248483 0.87459321],[0.72327405 0.21451622 0.57067215 0.2851663 ],[7.64330895e-01 3.54696436e-02 1.99979938e-01 2.19522562e-04],109.50719457302328,225.01438914604657,234.90934124569068
23,"[1.02399575180902, 0.02488996390821328, 0.18574536810044487]",[0.97823517 0.02357057 0.17697114],[1.19182348 0.91771146 1.04686956 1.26269959],[0.06920243 0.23632706 0.67776395 0.01670656],134.61757696963983,275.23515393927966,285.13010603892377
24,"[1.3765927919118721, 0.09294057337959787, 0.6215579569690142]",[0.88157139 0.37298109 0.7430403 ],[0.34866379 0.10064324 0.64963371 0.34071107],[1.18913202e-01 1.61964520e-06 8.80343202e-01 7.41977080e-04],125.08269780063789,256.1653956012758,266.06034770091986
25,"[1.506293541117679, 0.1753985729304066, 0.0024159032131337898]",[4.93856282e+00 1.00000000e-04 9.99744260e-01],[0.43632858 0.43550577 0.4363328  0.43475121],[0.02260079 0.54547581 0.04520385 0.38671955],29.796235019438566,65.59247003887714,75.48742213852124
26,"[3.0087300884256916, 0.6109132311697174, 0.6304445983901905]",[1.7956332  0.05998217 0.5682701 ],[0.60498348 0.15503473 0.70690617 0.28544133],[0.38061077 0.04005933 0.54593296 0.03339694],97.1115051681593,200.2230103363186,210.1179624359627
27,"[2.579536755957157, 0.49454733872442325, 0.4938034832250105]",[0.60568519 0.24268912 0.99284808],[0.55245646 0.29704943 0.68050982 0.14542979],[2.80624468e-01 1.66673943e-01 5.52686742e-01 1.48475427e-05],135.05449072701117,276.10898145402234,286.00393355366646
28,"[3.7048448592558394, 0.021957186129945183, 0.40231955057310453]",[1.22449318 0.14796838 0.9999    ],[0.66272562 0.48944818 0.92298463 0.18253084],[0.63655689 0.03563204 0.28034487 0.0474662 ],116.9000006943992,239.8000013887984,249.6949534884425
29,"[0.9514648015698065, 0.29334730584666424, 0.32669641744640016]",[1.08164675 0.39699804 0.9999    ],[ 0.48491451  0.5455749   0.96426375 -0.18596284],[7.57265131e-02 7.49211634e-01 1.75061847e-01 5.94990905e-09],112.44292264875416,230.88584529750833,240.78079739715244
30,"[3.3823017123435077, 0.6985112706302654, 0.08292799081259984]",[1.16315360e+00 1.94314305e-01 1.00000000e-04],[0.7260208  0.34607142 0.70764448 0.44098524],[0.31628013 0.16188669 0.39580071 0.12603247],121.42337456493364,248.84674912986728,258.74170122951136
31,"[1.4213623438028646, 0.6963883476319553, 0.2916351137445191]",[4.93255165e+00 1.00000000e-04 9.91438782e-01],[-0.01651365 -0.01977471 -0.01543403 -0.01961084],[0.46968905 0.01729592 0.47841713 0.03459789],88.32152142392621,182.64304284785243,192.53799494749654
32,"[4.969934145981807, 0.12683143249522977, 0.5855503855097631]",[4.99990000e+00 2.40832568e-04 9.11881084e-01],[1.00822872 1.00571397 1.00739659 1.00454189],[0.44931331 0.10297137 0.41375163 0.03396369],124.14974685119466,254.29949370238933,264.19444580203344
33,"[0.6131983156484246, 0.20036528962542866, 0.48938726086112744]",[0.0001 0.0001 0.0001],[0.14157031 0.14121075 0.14170961 0.14069873],[0.24761089 0.25739294 0.26712554 0.22787062],137.93629034222496,281.87258068444993,291.76753278409404
34,"[3.326205605108773, 0.25373146612808756, 0.8515448858289858]",[4.99990000e+00 1.89901709e-04 9.90524441e-01],[0.53227829 0.53006784 0.53275114 0.53004709],[0.41345774 0.09318796 0.41345115 0.07990315],101.34469741616849,208.68939483233697,218.5843469319811
35,"[3.298394940263537, 0.07750780479383039, 0.13459978538562878]",[1.69425233e+00 1.72464401e-04 9.98348194e-01],[0.09495689 0.09527362 0.09786229 0.09482098],[0.14680003 0.30399475 0.36309312 0.1861121 ],128.22304749439593,262.44609498879186,272.34104708843597
36,"[0.17991153161735107, 0.9741593215458882, 0.2457768452283723]",[2.05554668e-01 5.92982959e-01 1.00000000e-04],[0.47200825 1.08100744 0.80092779 0.20633275],[9.31912529e-01 6.63245086e-02 1.75519510e-03 7.76718924e-06],137.40514620854015,280.8102924170803,290.7052445167244
37,"[2.9853291473497174, 0.6490136690965937, 0.39309384495622224]",[3.66180927e+00 1.44476750e-03 8.40024707e-01],[0.47603687 0.46877211 0.4880538  0.46459315],[0.22678409 0.20619195 0.43140157 0.13562239],117.3339310646944,240.6678621293888,250.5628142290329
38,"[0.5660154432841066, 0.040694438574822134, 0.07360857945531907]",[9.36912372e-01 1.48259147e-01 4.45552719e-04],[0.61884808 0.03621739 0.55566814 0.23775351],[0.93154422 0.00244207 0.01959538 0.04641833],125.16696004454631,256.33392008909266,266.2288721887367
39,"[1.505980601461335, 0.7388943748830998, 0.6273584673027214]",[5.06760899e-01 1.00000000e-04 9.99900000e-01],[-0.16428588 -0.16479253 -0.16453913 -0.16471883],[0.22738334 0.27278477 0.20905279 0.29077911],137.84960038177428,281.69920076354856,291.5941528631927
40,"[3.309220595787129, 0.6862383524120411, 0.2903457326944432]",[1.73370368e+00 1.28123457e-02 1.00000000e-04],[0.35289396 0.23010653 0.31781219 0.20239769],[0.31809975 0.22741952 0.25442392 0.2000568 ],134.0118686397132,274.0237372794264,283.91868937907054
41,"[0.12377395140227425, 0.060304861038433515, 0.6756535637076574]",[2.39020634e+00 1.11493885e-02 1.00000000e-04],[0.39029946 0.26725042 0.44322485 0.25156365],[0.37856256 0.13207714 0.37437731 0.11498299],103.79841964800114,213.5968392960023,223.4917913956464
42,"[1.4906778873078184, 0.8534743701592277, 0.9830119467929169]",[1.01908097 0.13630468 0.9999    ],[0.649109   0.35497567 0.82345081 0.01926709],[0.20341773 0.69283686 0.10227309 0.00147232],123.26162618480998,252.52325236961997,262.4182044692641
43,"[1.7916810090315378, 0.12251798705525219, 0.4208838841807674]",[1.36787133e+00 1.00000000e-04 9.99900000e-01],[-0.72256101 -0.71696034 -0.72197118 -0.7183367 ],[0.04084606 0.46740344 0.07365082 0.41809967],113.99991282353683,233.99982564707366,243.89477774671778
44,"[1.0369936928870396, 0.5510493496260259, 0.22204592123555958]",[1.33485112e+00 2.54567599e-01 1.66284895e-04],[0.55594998 0.51512061 0.62910548 0.08959263],[0.29624336 0.52881816 0.16394727 0.01099122],106.62787331761481,219.25574663522963,229.15069873487374
45,"[0.7293559197426082, 0.03461404820299572, 0.8111527578031428]",[2.94283822e+00 1.00000000e-04 9.64362481e-01],[0.53625917 0.53540247 0.53653877 0.53536664],[0.24157031 0.22409561 0.44803913 0.08629495],132.92563455262334,271.8512691052467,281.7462212048908
46,"[0.7999405207659932, 0.8223820777659483, 0.08639295080711172]",[7.72986717e-01 2.03448638e-01 1.00000000e-04],[0.66772009 0.40069176 0.85048946 0.32514803],[0.05246202 0.0234147  0.38240722 0.54171606],132.41422255623627,270.82844511247254,280.72339721211665
47,"[0.9649681168460676, 0.2888605092356959, 0.1835054794711262]",[1.26302772 0.3620894  0.08907796],[0.97974933 0.21553197 1.10714572 0.35522181],[6.76397261e-01 9.11338478e-09 3.23160732e-01 4.41997732e-04],107.29044363085025,220.5808872617005,230.4758393613446
48,"[0.8065104203583906, 0.594062647546955, 0.15871030936372113]",[2.01555747 0.21073785 0.32177152],[0.67411662 0.13450446 0.8654936  0.18440087],[2.39229433e-01 3.50661801e-10 7.60770566e-01 6.51632869e-10],58.76004061315275,123.5200812263055,133.41503332594962
49,"[0.8775037987201367, 0.021439197932040386, 0.4136482047176784]",[1.39720307 0.05013742 0.9999    ],[0.4095081  0.35392867 0.52567303 0.11780233],[0.37639439 0.11826917 0.4377291  0.06760735],124.02627054704,254.05254109408,263.9474931937241
50,"[4.917827110309246, 0.6273347957230401, 0.8639347671785524]",[3.15651475 0.00331644 0.56439519],[0.57017979 0.5253428  0.55250443 0.51111314],[0.46276979 0.09888252 0.30581237 0.13253532],117.68809710091479,241.37619420182958,251.2711463014737
51,"[1.9454995804798934, 0.313272212821441, 0.0017364802639818961]",[1.45579407 0.00556891 0.99255349],[0.72316408 0.63944567 0.73939669 0.64957003],[0.20826687 0.27462365 0.29671198 0.2203975 ],130.31078831578137,266.62157663156273,276.51652873120685
52,"[3.1406112461190503, 0.8330554171089826, 0.7447772427516949]",[4.99990000e+00 2.09981767e-04 9.71901044e-01],[0.6821573  0.68066227 0.68260643 0.67947421],[0.33340872 0.14775847 0.4261701  0.09266271],118.59603864602146,243.1920772920429,253.08702939168703
