participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
19,133.85693669169683,"[0.49837919882735604, 0.21384123940745361, 0.4968931569136377, 4.335701416905291, 0.6612791893408511]","[1.99616195e-01 2.65873790e-01 9.99900000e-01 4.99990000e+00
 1.00000000e-04]","[np.float64(-0.3547518609802266), np.float64(-0.06259059849209785), np.float64(0.1775671197418759), np.float64(-1.9028188030311652)]",277.71387338339366,294.2054602161338
20,137.80889105163143,"[0.17065326181149887, 0.5788967126053632, 0.4373855937321505, 0.5749294899903415, 0.4973012056918279]","[9.07190883e-02 8.37414523e-01 1.00000000e-04 1.95155219e-04
 9.99900000e-01]","[np.float64(0.9735266865924587), np.float64(0.022544427108974998), np.float64(0.026238192191099192), np.float64(0.021938619210200273)]",285.61778210326287,302.1093689360031
21,131.41380830768276,"[3.186096175222744, 0.34419404487558686, 0.8679407637261212, 3.0307598056919125, 0.8605378179783961]","[2.61592709e-01 5.96150348e-01 1.69132031e-01 4.99990000e+00
 1.00000000e-04]","[np.float64(0.034149947771910674), np.float64(-0.008311796285239422), np.float64(0.20176928248919554), np.float64(0.1656643902105392)]",272.8276166153655,289.31920344810567
22,107.01027219578222,"[0.22981964524954415, 0.8190639028264657, 0.8081351551622169, 3.4523543305271795, 0.3276979721760212]",[0.31752315 0.02366478 0.95123225 4.9999     0.5740616 ],"[np.float64(-2.4491936461720285), np.float64(-8.708356946742994), np.float64(-3.728468711340264), np.float64(-6.496651573606111)]",224.02054439156444,240.51213122430462
23,137.14969188500763,"[4.101146530094873, 0.8455794088944691, 0.010808634855196406, 2.0517885662368656, 0.5694822628343041]",[0.05013967 0.06007341 0.0001     0.0001     0.0001    ],"[np.float64(0.07260735127095717), np.float64(2.693817861833553), np.float64(6.182152530685298), np.float64(0.04464373189454511)]",284.29938377001525,300.79097060275546
24,105.33221810730997,"[0.1134166662931986, 0.6171183647485565, 0.3361071759358602, 0.16552120267231638, 0.43498308432370475]","[3.14038103e-01 2.79353218e-01 1.00000000e-04 4.99990000e+00
 6.15280890e-01]","[np.float64(-5.708383437524544), np.float64(-3.773770278197901), np.float64(-0.012349560967527262), np.float64(-1.9136104063905823)]",220.66443621461994,237.15602304736012
25,19.0731782035337,"[3.267965911154288, 0.13432937754020646, 0.582204757861327, 3.516996657217827, 0.719778906417663]","[4.80908783e+00 1.00000000e-04 8.99842158e-01 1.00000000e-04
 1.00000000e-04]","[np.float64(0.4685126356481313), np.float64(7.844551602845567), np.float64(0.4759010235971766), np.float64(3.5559830874150755)]",48.1463564070674,64.63794323980758
26,95.99530794016376,"[0.47906862780570453, 0.023088269903832066, 0.7253412954271438, 2.7735745068152915, 0.8891674153012733]","[1.87818266e-01 2.82473786e-02 1.00000000e-04 3.74172267e+00
 1.00000000e-04]","[np.float64(9.81455760919405), np.float64(-3.6574090186455908), np.float64(12.310864057810045), np.float64(1.9423839432737566)]",201.9906158803275,218.4822027130677
27,133.29332528136666,"[1.8685361860916483, 0.38374067637113307, 0.8233151815329149, 2.5020344431213584, 0.9955047442212352]","[2.59828242e+00 1.92788921e-04 1.00000000e-04 4.99990000e+00
 9.99900000e-01]","[np.float64(0.9789511654348997), np.float64(0.932705781629823), np.float64(0.9742900923412148), np.float64(0.9407096181236007)]",276.5866505627333,293.0782373954735
28,116.6635011453053,"[0.9616074282355072, 0.13159630353499477, 0.2999471475087835, 4.2833028868782534, 0.6285995548321703]","[6.03646269e-01 1.22851817e-01 3.38903014e-01 1.00000000e-04
 1.00000000e-04]","[np.float64(1.691594143577208), np.float64(0.13604083216629725), np.float64(0.9258236687896759), np.float64(0.1446281298576539)]",243.3270022906106,259.81858912335076
29,111.00215528198662,"[0.4277151077187344, 0.7132762823235897, 0.7442424461003988, 4.652374699378424, 0.5343927768674492]","[1.26705742e+00 4.46456105e-01 2.58865486e-01 1.00000000e-04
 1.00000000e-04]","[np.float64(0.01117490263555342), np.float64(0.43081733879755013), np.float64(0.18381010121910235), np.float64(3.7516732705278034e-06)]",232.00431056397323,248.49589739671342
30,123.31981036033326,"[0.5671976009106159, 0.359108591535708, 0.03278595029485814, 2.592963329330601, 0.3241248879520583]","[2.32925631e-01 3.63949716e-02 1.00000000e-04 1.12849222e+00
 1.31199216e-01]","[np.float64(1.7034664056203417), np.float64(0.10779210109954605), np.float64(1.4018730449141739), np.float64(0.15619268500800715)]",256.6396207206665,273.13120755340674
31,44.977613963129954,"[3.5440919069270813, 0.07232574639095313, 0.5166454862646913, 0.7928622591379327, 0.6307492626408003]","[1.51066261e+00 4.22975829e-02 1.00000000e-04 4.99990000e+00
 9.01534248e-01]","[np.float64(-3.6540279382927046), np.float64(-3.8489725853892973), np.float64(-3.0473198431099746), np.float64(-3.4531688297729373)]",99.95522792625991,116.44681475900009
