participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
21,274.67536864834045,"[1.0197842565924737, 0.057119107678689794, 0.48133585050139377, 1.4168604185885953]",[0.04144924 0.01153924 0.9999     4.9999    ],"[np.float64(7.712426146338055), np.float64(4.731714107339409), np.float64(7.774233342999809), np.float64(2.5280544613389173)]",557.3507372966809,573.3165954851129
22,261.852647016836,"[3.040474708897143, 0.26073671697039, 0.5123798721942046, 2.446066299501468]",[7.17435791e-02 2.27376930e-04 8.60125024e-01 4.99990000e+00],"[np.float64(11.038105156437041), np.float64(9.535241138347875), np.float64(9.939034004875113), np.float64(5.177650619765955)]",531.705294033672,547.671152222104
23,222.99660019448677,"[1.8957499635214743, 0.02973615359849018, 0.7511080944737141, 3.1512741847971126]",[1.26045778e-03 2.37988192e-01 9.99900000e-01 6.91171615e-04],"[np.float64(105.2264881047798), np.float64(255.65250235598685), np.float64(172.93891566090056), np.float64(6.2183604637394945)]",453.99320038897355,469.9590585774055
24,272.426799803303,"[1.1615127842979296, 0.9804900727503989, 0.287277154419743, 0.09509121361883269]",[0.16803954 0.09183869 0.9999     4.95596541],"[np.float64(2.047227056929257), np.float64(1.5042246339896659), np.float64(1.192055351178564), np.float64(0.12294925695105541)]",552.853599606606,568.819457795038
25,149.15147342036596,"[0.6533008154170549, 0.04999354616158548, 0.8641805697626864, 0.6608595791122999]",[0.28223917 0.03084058 0.80241873 0.55468444],"[np.float64(12.28568222724171), np.float64(4.357636727458219), np.float64(6.222950002496325), np.float64(3.312623631944008)]",306.3029468407319,322.26880502916384
26,187.94416113866026,"[4.986407716673466, 0.6011473516520971, 0.42644213596117064, 1.6258705525366843]",[0.36880979 0.04163643 0.9999     1.71739901],"[np.float64(9.03153712706412), np.float64(0.24295234718596748), np.float64(4.719044472898383), np.float64(0.2686738232612468)]",383.8883222773205,399.85418046575245
27,233.19754105134083,"[4.399446337998496, 0.22137801233840063, 0.3338537778453016, 1.3963388379679378]",[0.11541516 0.00799357 0.98242247 4.90536642],"[np.float64(26.69148823663158), np.float64(3.8370437276788936), np.float64(13.041711314726738), np.float64(5.177696971161392)]",474.39508210268167,490.3609402911136
28,261.1357626943646,"[2.378523539686397, 0.8133202431235235, 0.48343128707365196, 1.6162316526387859]",[0.33875284 0.12284732 0.25868253 4.9999    ],"[np.float64(1.5190424447706818), np.float64(1.4348193908832712), np.float64(1.975814890926856), np.float64(0.9031877960922257)]",530.2715253887292,546.2373835771612
29,223.75802730492762,"[4.861307648095795, 0.507581879462555, 0.9832469891763636, 0.6432217600978465]",[0.02035217 0.04204274 0.9999     0.04909407],"[np.float64(7.242134045332562), np.float64(36.81164716121457), np.float64(2.776197882698569), np.float64(28.692328761900633)]",455.51605460985525,471.48191279828717
30,220.6232998685283,"[3.539027856314359, 0.561366759776998, 0.04299002099352418, 0.8587943174930692]",[0.73087072 0.24847    0.49358188 1.32659724],"[np.float64(0.5424570338848429), np.float64(1.4519580680724984), np.float64(0.5824897078598906), np.float64(1.9422345142416023e-13)]",449.2465997370566,465.21245792548854
31,150.91392789386956,"[4.643509392887823, 0.4264494066228041, 0.7720902598111872, 2.7438904874277057]",[0.28795618 0.03075327 0.83323434 4.82928316],"[np.float64(0.010430833719176184), np.float64(5.913892437622273), np.float64(7.775224568101326), np.float64(0.010430833719176184)]",309.8278557877391,325.79371397617103
32,256.1386041462427,"[1.0563142538396928, 0.4134766031542459, 0.18864300585497648, 0.9656076202779206]",[0.08916027 0.00771162 0.12823349 4.9999    ],"[np.float64(17.878127367501122), np.float64(6.9147404164667075), np.float64(8.348439852675499), np.float64(2.588479471324962)]",520.2772082924854,536.2430664809174
33,257.0081155342398,"[3.3225941008002997, 0.3457932445635034, 0.2695307025775438, 4.322185478547433]",[0.00098887 0.04804788 0.17056784 0.00793111],"[np.float64(309.87434348249343), np.float64(1288.9283685564897), np.float64(690.4105105593896), np.float64(15.44489539919954)]",522.0162310684796,537.9820892569115
34,222.91391105768795,"[2.194852926699808, 0.2031200891730188, 0.2611163681002505, 0.9513176759657835]",[0.22961626 0.03900917 0.9999     4.9999    ],"[np.float64(8.07662655234976), np.float64(0.6389899141717781), np.float64(2.344069331211427), np.float64(0.7338201290973906)]",453.8278221153759,469.79368030380783
35,227.11121115074926,"[4.8116179134931585, 0.2303598033491021, 0.2744413778924276, 4.753061965517796]",[4.37425348e-02 1.00000000e-04 1.00000000e-04 6.84489331e-01],"[np.float64(37.9997150954261), np.float64(75.58082194858959), np.float64(46.846512262319244), np.float64(4.880405168019821)]",462.2224223014985,478.18828048993043
36,258.5091931446673,"[0.17697328185090463, 0.38751113861665515, 0.8920475698929617, 0.4883260701165174]",[5.09866814e-02 1.00000000e-04 7.79039096e-01 3.32100923e-01],"[np.float64(19.94409509670619), np.float64(42.678145904034075), np.float64(16.25085475403233), np.float64(13.872291323190973)]",525.0183862893346,540.9842444777665
37,246.37842356699065,"[0.33864166691785447, 0.9937361116673351, 0.3178318742678954, 3.9709531737455945]",[6.17900807e-02 1.00000000e-04 7.98422928e-01 4.63459016e+00],"[np.float64(34.15899233120981), np.float64(15.07750137294949), np.float64(20.69185847340354), np.float64(5.490186540766937)]",500.7568471339813,516.7227053224133
38,275.9014363361573,"[0.019974391092226443, 0.11135407185511272, 0.2462202728023408, 4.843764854291109]",[0.05758071 0.10828436 0.23709872 4.84480457],"[np.float64(2.8248213582112216), np.float64(0.8448382893700371), np.float64(1.3068946902550034), np.float64(0.3447900716187747)]",559.8028726723146,575.7687308607466
