participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC
26,194.3037216020051,"[1.2175410899233978, 0.6826138407720745, 0.24754949394450546, 0.9932511184064218]",[2.02768042e+00 3.53002027e-02 9.99900000e-01 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",396.6074432040102,412.57330139244215
27,229.4046733751093,"[2.1464579179014938, 0.3754129727203729, 0.32096033465977397, 0.45204749294998314]",[4.99990000e+00 2.70814869e-04 1.00000000e-04 2.08210131e+00],"[0.0, 0.0, 0.0, 0.0]",466.8093467502186,482.7752049386505
28,262.29812913518134,"[1.9676314570645563, 0.12219256781593368, 0.6027768926425086, 1.8313749975836877]",[8.89176596e-01 1.69541433e-01 2.08108469e-01 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",532.5962582703627,548.5621164587947
29,253.649167220741,"[0.7459978390138269, 0.1654837531996453, 0.3756692202302149, 2.8456838897311285]",[9.50982437e-01 1.33036467e-01 1.00000000e-04 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",515.298334441482,531.264192629914
30,244.41118838065714,"[4.579573473892066, 0.40470904920135836, 0.2849658929499229, 4.356974364113152]",[1.10553080e+00 1.15400172e-01 1.00000000e-04 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",496.8223767613143,512.7882349497462
31,141.9926286217283,"[0.7704916919493341, 0.9897135070804535, 0.9439767182911322, 3.1159178809532997]",[1.42663328e+00 1.44500026e-01 1.00000000e-04 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",291.9852572434566,307.9511154318885
32,250.07682057869056,"[0.7525050946677784, 0.9769961578885037, 0.33239328903183674, 1.9800190285972763]",[1.11794661 0.03642476 0.95908652 4.9999    ],"[0.0, 0.0, 0.0, 0.0]",508.1536411573811,524.1194993458131
33,264.49047954692014,"[0.17038429011474843, 0.870774837631178, 0.13379447179184104, 2.03831207577515]",[1.67500176e+00 1.03440790e-02 1.00000000e-04 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",536.9809590938403,552.9468172822723
34,200.09734624340507,"[0.46244951431228637, 0.7741647060915368, 0.9189053982008453, 1.1036527848521183]",[1.44165593e+00 2.52407080e-01 8.39470267e-01 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",408.19469248681014,424.16055067524206
35,226.3632403415722,"[1.540531275909541, 0.8893616735497365, 0.7424290489208722, 3.0046957298131263]",[2.58781601e+00 6.72630351e-03 1.00000000e-04 1.00000000e-04],"[0.0, 0.0, 0.0, 0.0]",460.7264806831444,476.69233887157634
