participant_id,best_initial_guess,best_parameters,EV_Gau,EV_Dir,best_nll,AIC,BIC
46,"[2.109565116816726, 0.8497617388330004, 0.34896380815454014]",[7.28270168e-01 1.98382839e-01 1.00000000e-04],[0.68296381 0.22419188 0.58150254 0.28116686],[0.7437579  0.06174389 0.18528293 0.00921528],268.065813960794,542.131627921588,554.1060215629119
47,"[0.8736684797286258, 0.02849019845986845, 0.700975194753135]",[1.29906398 0.08079568 0.95908105],[0.53346702 0.24768502 0.70046537 0.34366241],[0.29119305 0.37361611 0.29816978 0.03702107],228.67313154095797,463.34626308191594,475.3206567232399
48,"[2.025104182597515, 0.1532846900663255, 0.09798829132755667]",[2.04832437 0.06180873 0.4464836 ],[0.60174238 0.48329328 0.85515998 0.47253209],[2.47685630e-01 1.89533594e-01 5.62665585e-01 1.15191151e-04],144.93626037748678,295.87252075497355,307.8469143962975
49,"[1.8356117479401446, 0.47950386824617136, 0.17080869323099707]",[1.92800882 0.03024277 0.81025186],[0.59422976 0.52550895 0.57089008 0.37792839],[0.6467232  0.09719105 0.01201273 0.24407302],214.37724891773155,434.7544978354631,446.72889147678706
50,"[0.37617255111076353, 0.5779235982090503, 0.6139047091846106]",[1.38567942 0.03350156 0.78316701],[0.46783045 0.40167814 0.52111296 0.30083647],[0.24265974 0.40193893 0.22323416 0.13216717],255.7961950632975,517.592390126595,529.5667837679189
51,"[0.7646706161161468, 0.26428986606098925, 0.8816274706801058]",[4.36294807e-01 6.27086210e-01 1.00000000e-04],[0.56043041 0.31790336 0.68870146 0.78389162],[3.36254101e-01 1.77092605e-06 5.39387694e-03 6.58350251e-01],270.0896562454152,546.1793124908304,558.1537061321543
52,"[1.030651628893396, 0.12563521933918087, 0.21074379163954315]",[1.10737868 0.15081252 0.55315586],[0.54982222 0.2160062  0.76378135 0.319705  ],[0.29767607 0.2533822  0.10679626 0.34214547],251.41685136475692,508.83370272951385,520.8080963708378
53,"[3.597206904660943, 0.23152643885519286, 0.4525687179896813]",[0.88587188 0.00307594 0.9999    ],[0.62628425 0.59478099 0.63928294 0.62526321],[0.24144489 0.27293842 0.44800453 0.03761216],271.21229987969656,548.4245997593931,560.398993400717
54,"[0.6343162902913734, 0.021001361347133467, 0.5634789165279426]",[1.32486496e+00 3.17597205e-04 9.99900000e-01],[0.50259868 0.50008609 0.50296603 0.49969052],[0.19257299 0.51967382 0.17326675 0.11448644],237.90078944726997,481.80157889453994,493.7759725358639
55,"[1.9959374766275133, 0.2984590070454582, 0.7436276226450771]",[4.99990000e+00 3.87360832e-04 1.00000000e-04],[0.85355063 0.84901552 0.85376261 0.85099377],[0.55835477 0.25805332 0.14725818 0.03633373],262.01108436375705,530.0221687275141,541.996562368838
56,"[4.035188950557087, 0.5079547690571036, 0.37204429213298384]",[0.0001     0.0001     0.00010001],[0.51978836 0.51957238 0.52042645 0.5194568 ],[0.24073648 0.35184808 0.27776695 0.12964849],276.5657263243456,559.1314526486912,571.105846290015
57,"[3.240000526128231, 0.02551748098616584, 0.05917147939177175]",[2.62024485e+00 1.00000000e-04 9.48475800e-01],[0.54754541 0.54607061 0.5475143  0.54620444],[0.49201621 0.15392228 0.27704466 0.07701685],262.9486872201397,531.8973744402793,543.8717680816032
58,"[1.5136629448234526, 0.4427239730643155, 0.7678605386761237]",[1.1227058  0.15305652 0.7573153 ],[0.78135149 0.35005066 0.62767741 0.1861861 ],[0.65958847 0.24650686 0.09188844 0.00201623],249.51628339829927,505.03256679659853,517.0069604379224
59,"[2.5118321741843546, 0.36963321791575626, 0.5012969453011181]",[4.42218839e+00 1.02963416e-04 9.95930188e-01],[1.17864445 1.1826057  1.18136904 1.18248383],[0.45015481 0.04977076 0.45030367 0.04977076],161.13670060232405,328.2734012046481,340.24779484597207
60,"[0.5659762402235622, 0.24569460467860615, 0.567268372095283]",[2.18283732 0.01609012 0.17621023],[0.53647753 0.29689038 0.42932345 0.35382031],[0.5855215  0.04855704 0.26855917 0.09736229],208.70794156961918,423.41588313923836,435.3902767805623
61,"[2.6061007612649805, 0.6141732738657206, 0.7117406036058815]",[1.65053555 0.00531949 0.87900117],[0.86447366 0.71690372 0.87646758 0.86215042],[0.26706837 0.2491357  0.44018396 0.04361197],261.4794266677565,528.958853335513,540.9332469768369
62,"[2.6517714266133847, 0.8963625913481549, 0.4314420292127988]",[9.41154548e-01 2.92236672e-01 1.00000000e-04],[1.06328253 0.41139725 0.94923259 0.46243103],[8.78894579e-01 2.45337078e-05 1.04910268e-01 1.61706190e-02],251.26485001596197,508.52970003192394,520.5040936732479
63,"[0.40407927569146285, 0.5996091440517736, 0.5440680621380226]",[1.17123387 0.00436754 0.9999    ],[0.72297841 0.68994939 0.72148853 0.69393892],[0.60566525 0.08235647 0.26332444 0.04865384],256.42213029182926,518.8442605836585,530.8186542249824
64,"[3.628460974899575, 0.1611464973193247, 0.22664137417302732]",[1.0919657  0.03820994 0.75460971],[0.62266754 0.31830998 0.55131405 0.25016823],[0.50261978 0.13008664 0.3079616  0.05933197],267.0753720379996,540.1507440759992,552.1251377173231
65,"[1.334331554281101, 0.5410372118628135, 0.3301939486926807]",[8.09257463e-01 6.22049945e-01 1.00000000e-04],[0.73841728 1.02092411 0.92287861 0.67358702],[1.16613104e-01 6.07373746e-02 8.22649521e-01 2.15990316e-32],253.7183340318693,513.4366680637386,525.4110617050625
66,"[1.8251723303054235, 0.34122856955257236, 0.8310624373841473]",[1.60623940e+00 1.00000000e-04 9.99601055e-01],[0.20487285 0.20376042 0.2041044  0.20379028],[0.37904016 0.26315248 0.15768239 0.20012497],233.31452445255496,472.6290489051099,484.6034425464339
67,"[3.085984350336953, 0.7556398723263673, 0.03789839259991906]",[1.15285814 0.0456552  0.0735689 ],[0.66556971 0.5853146  1.01469841 0.57564502],[0.68730657 0.00490813 0.07052609 0.23725921],253.83237062242068,513.6647412448414,525.6391348861653
68,"[0.23434087544700802, 0.950651737426969, 0.30581254510997175]",[0.25157553 0.2296411  0.9999    ],[0.40896177 0.23506268 0.76372061 0.12132671],[0.93947259 0.03820708 0.00939298 0.01292734],275.77053529122134,557.5410705824427,569.5154642237666
69,"[1.7959757547808408, 0.8414178166090461, 0.24308468715864198]",[1.63684206e+00 1.00000000e-04 9.99687324e-01],[0.61227475 0.61187936 0.61227117 0.61176742],[0.60019869 0.05682058 0.31456618 0.02841455],226.0124478476405,458.024895695281,469.99928933660493
70,"[2.9232343688851454, 0.05091046168927647, 0.8427233752773169]",[4.44221650e+00 1.00000000e-04 9.59550218e-01],[0.0773503  0.07235658 0.0752721  0.0723369 ],[0.64662199 0.01724144 0.31896163 0.01717494],168.7159756046857,343.4319512093714,355.40634485069535
71,"[0.11160855715329784, 0.103521973474008, 0.030237356105641072]",[8.93634926e-01 2.11638684e-04 9.99900000e-01],[0.6915328  0.6890543  0.69224093 0.68900517],[0.40059561 0.29982385 0.14985323 0.14972731],272.34606312376354,550.6921262475271,562.666519888851
72,"[3.0891447847267473, 0.7889438627590707, 0.9920341411262439]",[3.73382676e+00 2.09502177e-04 9.67383853e-01],[0.19050681 0.18632046 0.18869195 0.18536751],[0.48877042 0.1781894  0.26636908 0.0666711 ],251.48793380385763,508.97586760771526,520.9502612490392
73,"[1.7102056168635378, 0.84296540178453, 0.06337676034990745]",[0.83900416 0.08609358 0.9999    ],[0.72639287 0.35822972 0.63606199 0.39872949],[0.74802301 0.00728813 0.23454644 0.01014242],258.5337536937276,523.0675073874552,535.0419010287791
74,"[1.1887674794248135, 0.31220471956820317, 0.9353073442216917]",[0.0001     0.0001     0.00010001],[-0.26837998 -0.26929056 -0.26953061 -0.27115619],[0.33900699 0.32203684 0.20345823 0.13549794],276.5657261617603,559.1314523235206,571.1058459648445
75,"[3.303545621736977, 0.2192226881155038, 0.2926456586817099]",[4.78310039e+00 2.19165250e-04 9.25019780e-01],[0.81091235 0.80801299 0.81256295 0.80991147],[0.51785722 0.06853922 0.34508696 0.06851659],261.97861044347593,529.9572208869519,541.9316145282758
76,"[0.21239392834679086, 0.41225548902844456, 0.8776375716906134]",[0.59080541 0.2058811  0.84852032],[0.73788601 0.02119356 0.56375535 0.22076543],[1.34385282e-06 7.62786521e-02 9.23719449e-01 5.55472118e-07],266.4007732035259,538.8015464070518,550.7759400483757
77,"[2.9789019398445524, 0.35178850659118965, 0.017175712028792513]",[1.00327819e+00 6.68600081e-04 9.69097630e-01],[0.79078393 0.78122946 0.78966345 0.78482821],[0.48887724 0.20972748 0.23297923 0.06841605],272.8895340381614,551.7790680763228,563.7534617176467
78,"[1.1112906824422257, 0.8577229493352454, 0.9148881565492134]",[0.86995138 0.05924884 0.6636181 ],[0.63484905 0.26474117 0.43852507 0.25616765],[0.4393166  0.14877727 0.22658183 0.1853243 ],269.9572226424297,545.9144452848594,557.8888389261833
79,"[4.655769830038371, 0.303751691366563, 0.5383330706615971]",[0.94637792 0.00681445 0.4264023 ],[0.9867496  0.92303184 1.05317661 0.98303271],[0.53012471 0.06546456 0.33509122 0.06931951],275.6115648996908,557.2231297993816,569.1975234407055
80,"[1.2547834038194983, 0.5232177710523477, 0.24741928439754596]",[0.0001 0.0001 0.0001],[0.05434526 0.05353479 0.05362975 0.05265055],[0.30461115 0.37169024 0.1905434  0.13315521],276.56572703175794,559.1314540635159,571.1058477048398
81,"[3.72186412693851, 0.9940838933061554, 0.5801117382123587]",[1.58064885 0.08396666 0.33541782],[0.67104554 0.4550781  0.70511057 0.4078598 ],[0.77264842 0.00925823 0.21709061 0.00100274],220.1359054169854,446.2718108339708,458.24620447529475
82,"[1.9550046755282278, 0.2601877342194268, 0.31600078358275413]",[0.80210919 0.07611383 0.99379093],[0.51532104 0.32837424 0.62245956 0.20045839],[0.28979854 0.22779974 0.29796037 0.18444135],273.2548676403286,552.5097352806572,564.4841289219811
83,"[1.8209179044119177, 0.6606017930637563, 0.9400147266857699]",[4.99990000e+00 2.93728085e-04 1.00000000e-04],[-0.11430235 -0.1205035  -0.120298   -0.12370585],[0.38702329 0.28294693 0.18874574 0.14128404],253.3790697013324,512.7581394026648,524.7325330439887
84,"[4.6532362954658515, 0.0004671341552431008, 0.20029687276884428]",[0.0001 0.0001 0.0001],[0.65378377 0.65304498 0.65411644 0.65315653],[0.50056271 0.15883422 0.20432707 0.136276  ],276.56572796351134,559.1314559270227,571.1058495683466
85,"[2.6432297916149303, 0.45387613696576923, 0.7448510976937885]",[1.35432471 0.39007685 0.9999    ],[ 0.65893225  0.44006756  0.86696794 -0.01420385],[1.88204168e-02 9.81057261e-01 9.96973222e-05 2.26250459e-05],177.90181150424982,361.80362300849964,373.7780166498236
86,"[4.445637789922821, 0.3463585288255149, 0.44068739687035313]",[2.30885486 0.15693565 0.9999    ],[0.7350012  0.21999022 0.83727598 1.53780616],[4.96812144e-01 8.32553857e-10 5.03187854e-01 8.32553857e-10],88.55985611562699,183.11971223125397,195.09410587257793
87,"[3.282347762488442, 0.9882097503215814, 0.09152183386300335]",[1.63607295e+00 1.00000000e-04 9.73163476e-01],[0.26877862 0.26601087 0.26825379 0.26601087],[0.62512251 0.0095595  0.35575849 0.0095595 ],221.36423401883806,448.7284680376761,460.7028616790001
88,"[3.131871719555457, 0.46090815890582887, 0.3475754044801939]",[1.05313506 0.22246572 0.38088871],[0.67600053 0.3536568  0.66299675 0.2737575 ],[9.82034225e-01 1.42131283e-05 1.79453504e-02 6.21096164e-06],233.72613918644527,473.45227837289053,485.4266720142145
89,"[1.9691875975887114, 0.7562639440408775, 0.7302971779043848]",[4.99990000e+00 2.38507625e-04 1.00000000e-04],[-0.12930352 -0.13827065 -0.13464784 -0.14077509],[0.49169729 0.17477844 0.27246227 0.061062  ],243.90650829454208,493.81301658908416,505.7874102304081
90,"[4.029203661891245, 0.28473950242661067, 0.14470427636505637]",[0.5179568 0.010643  0.9999   ],[ 0.11368364  0.04153317  0.07353802 -0.00371191],[0.27410058 0.35323803 0.2027673  0.16989409],276.2130408613736,558.4260817227472,570.4004753640711
91,"[0.8173386097232389, 0.3598779145964958, 0.4546644827348823]",[1.02956039 0.28955894 0.42714779],[0.49155403 0.17488052 0.5598696  0.20046637],[2.81386048e-04 1.83666405e-01 5.54679944e-04 8.15497529e-01],235.47940223522727,476.95880447045454,488.9331981117785
92,"[2.4056086444249467, 0.06232872171867185, 0.6043839202797836]",[2.68779751e+00 1.86381039e-04 8.59445735e-01],[-0.39661369 -0.39683389 -0.40059096 -0.3987444 ],[0.28080845 0.38045066 0.09077453 0.24796636],272.6313025467586,551.2626050935172,563.2369987348411
93,"[0.8677777363344911, 0.24055977922852806, 0.6844458770674479]",[1.3368962  0.02845447 0.88752294],[0.63516418 0.45685445 0.67983935 0.45836806],[0.56421797 0.0895329  0.15716976 0.18907937],241.05072271025864,488.1014454205173,500.07583906184124
94,"[4.903455460379738, 0.8538688114082867, 0.2773972888578652]",[5.28411506e-01 9.99900000e-01 1.00000000e-04],[0.97618952 0.57113815 0.78692298 0.62221757],[1.e+00 1.e-32 1.e-28 1.e-20],262.56354334269497,531.1270866853899,543.1014803267138
95,"[4.472294043214773, 0.9768553871546622, 0.03009101455648504]",[1.2962652  0.14157933 0.9999    ],[0.23002142 0.32684507 0.4036983  0.18188077],[3.35487963e-09 7.40057729e-01 1.51412204e-06 2.59940753e-01],210.36836683976847,426.73673367953694,438.7111273208609
96,"[1.267197098243248, 0.12254164429533429, 0.31943525178779264]",[1.31637117e+00 1.00000000e-04 9.99224871e-01],[0.48918387 0.48747108 0.48922977 0.48856446],[0.20406393 0.3889672  0.31441784 0.09255102],257.5306253787246,521.0612507574492,533.0356443987731
97,"[1.545328156234715, 0.4902529601766594, 0.966928508894237]",[6.68198194e-01 4.81891645e-01 1.00000000e-04],[0.39670908 0.24196625 0.75362538 0.17318657],[7.89072994e-01 1.84854352e-01 2.55779267e-02 4.94727281e-04],260.86012855031663,527.7202571006333,539.6946507419572
98,"[0.747216107747668, 0.2807789244710432, 0.8460659681277307]",[1.76865189 0.07332994 0.99557651],[0.6729202  0.67467373 0.81147333 0.84699346],[6.51513364e-01 1.89596392e-03 3.46573209e-01 1.74629690e-05],160.69326938177204,327.3865387635441,339.36093240486804
99,"[1.8438557640281383, 0.09674055148666874, 0.3034195247600049]",[1.66597471 0.00388817 0.97604519],[0.26763062 0.25137186 0.3048762  0.23618439],[0.28159054 0.32787449 0.37189032 0.01864465],247.508740665461,501.017481330922,512.9918749722459
100,"[3.5910729152539815, 0.03322546567174374, 0.6754880826265325]",[2.52355778e+00 1.00000000e-04 9.84752128e-01],[0.05404046 0.05030435 0.0500723  0.05060196],[0.63551569 0.10414879 0.03126502 0.2290705 ],212.43801953390502,430.87603906781004,442.850432709134
101,"[0.28248167754304354, 0.4820129389370875, 0.4902202199130814]",[9.07921587e-01 1.70592074e-04 9.99900000e-01],[0.39833407 0.39667403 0.3980618  0.39688625],[0.31990388 0.34656157 0.28037407 0.05316048],268.509440041924,543.018880083848,554.9932737251719
102,"[3.2782865732696225, 0.2937543211051194, 0.9471446464569551]",[2.57146300e+00 4.89394041e-04 9.73751170e-01],[-0.34390734 -0.32439597 -0.33031105 -0.34787781],[0.09022387 0.57395927 0.27861088 0.05720598],185.4394456724416,376.8788913448832,388.85328498620714
103,"[1.2369692993948143, 0.6571617309345457, 0.31204950244490776]",[1.01225928e+00 1.00000000e-04 9.99900000e-01],[0.41507747 0.41464661 0.415773   0.41433163],[0.40499985 0.20266172 0.30384643 0.088492  ],271.31314930817706,548.6262986163541,560.600692257678
