participant_id,best_initial_guess,best_parameters,EV_Gau,EV_Dir,best_weight,best_obj_weight,best_nll,AIC,BIC
1,"[3.986282807067419, 0.3815735568046963, 0.24534206962791624, 0.9172792551285714]",[2.24006737e-01 9.99900000e-01 1.00000000e-04 1.00000000e-04],[ 0.64635134  1.01936118 -0.46563529  0.11452034],[9.9999999e-01 9.9999999e-09 9.9990000e-17 9.9990000e-25],[],[],274.6189646127072,557.2379292254144,573.2037874138464
2,"[4.0014502544796695, 0.41638630172244895, 0.6604089051911342, 3.1793523534239716]",[1.27163592e+00 1.87712066e-03 7.10547736e-01 1.00000000e-04],[0.36872311 0.35031828 0.36827858 0.34859331],[0.39103581 0.24946754 0.27505474 0.08444191],[],[],269.49849269176775,546.9969853835355,562.9628435719675
3,"[4.700119913897147, 0.0962680421651632, 0.5375973303347837, 1.331837222848426]",[1.50156965e+00 3.32374034e-03 9.99900000e-01 1.00000000e-04],[0.40058452 0.36815121 0.43436679 0.40058452],[0.01201673 0.53671943 0.4392471  0.01201673],[],[],193.50071051297326,395.0014210259465,410.96727921437844
4,"[3.609622317128701, 0.5292388734616601, 0.34126120481683214, 1.11916316377541]",[3.26052210e+00 1.00000000e-04 1.64787601e-01 1.00000000e-04],[0.74324781 0.74212172 0.74356042 0.74303812],[0.49982065 0.08685802 0.34817995 0.06514138],[],[],264.2395954568543,536.4791909137086,552.4450491021406
5,"[1.3201386237749275, 0.11605206872588049, 0.431598679089115, 0.686758950832128]",[1.13742251e+00 4.17107504e-01 7.80997610e-04 4.14721127e-01],[0.66586087 0.55445246 0.51990564 0.52510294],[0.29690025 0.03264846 0.50430285 0.16614844],[],[],228.39709548155602,464.79419096311204,480.76004915154397
6,"[2.0960258170766135, 0.27595494665662473, 0.2738201671695392, 2.558390294023646]",[7.56329785e-01 8.42131502e-02 1.00000000e-04 1.93663938e+00],[0.62051365 0.16297704 0.58306897 0.22856097],[0.43900059 0.27023473 0.27958224 0.01118244],[],[],270.4301833985625,548.860366797125,564.826224985557
7,"[4.874716150270136, 0.44655869570137996, 0.17475818945185223, 3.6868005395406143]",[1.57399071 0.08731335 0.85837895 3.7510202 ],[0.6893945  0.44892564 0.6229553  0.6893945 ],[4.90980839e-06 7.52813615e-01 2.47176565e-01 4.90980839e-06],[],[],181.20660405710163,370.41320811420326,386.3790663026352
8,"[0.05921081841786018, 0.3969929961642347, 0.4446276041265077, 2.013488506669288]",[1.45440798 0.09311348 0.9999     2.01916831],[0.62389198 0.85598707 0.74346872 0.85598707],[4.13949474e-01 2.24472352e-06 5.86046037e-01 2.24472352e-06],[],[],179.5084310192224,367.0168620384448,382.9827202268767
9,"[0.318352153542883, 0.002929337292555224, 0.08283528845554773, 0.5805950649979819]",[0.64001847 0.47834372 0.9999     0.49300832],[ 1.10595065  0.79052079  0.52900826 -0.03950992],[9.93428642e-01 6.53910991e-03 3.13816931e-05 8.66226536e-07],[],[],258.0341266041732,524.0682532083464,540.0341113967784
10,"[3.5653200471264133, 0.5324508959424419, 0.6841749572637285, 3.697688586958564]",[1.1083265  0.16208485 0.28521095 3.99988386],[ 0.43386323  0.19406428  0.82023066 -0.04937126],[6.25597604e-01 1.91569381e-01 1.82833011e-01 4.13734717e-09],[],[],232.18953036623344,472.3790607324669,488.3449189208988
11,"[1.2530240201879184, 0.7684256877051475, 0.6026504086274039, 2.781868055917865]",[1.77252404 0.03952605 0.52665246 2.52690278],[0.60691614 0.33745585 0.60767668 0.47073098],[0.5410665  0.00662484 0.22106684 0.23124182],[],[],213.75729052684744,435.5145810536949,451.4804392421268
12,"[3.6891130093532998, 0.7848099204038033, 0.08944606231466838, 0.9414712955283302]",[1.89187656e+00 3.07257585e-04 9.99900000e-01 2.24633960e+00],[0.19147294 0.18335171 0.18328265 0.18286698],[0.57339664 0.1681896  0.0559673  0.20244646],[],[],256.4753237351929,520.9506474703858,536.9165056588178
13,"[0.8701577313371605, 0.6251889056190928, 0.49905719822909883, 2.918596902381979]",[0.76172961 0.68180943 0.43911066 2.91724838],[ 0.28441447  0.04700035  0.96139671 -0.01401865],[2.59455034e-01 2.57757537e-08 7.40442384e-01 1.02556541e-04],[],[],250.22322099633678,508.44644199267356,524.4123001811055
14,"[4.673299586765524, 0.08489787216771692, 0.8077557052550669, 2.7957142448487584]",[1.76579281e+00 1.35803236e-02 1.00000000e-04 3.99989768e+00],[0.4715861  0.36782495 0.48103796 0.35081984],[0.32706703 0.30920797 0.31616948 0.04755552],[],[],266.31463502665144,540.6292700533029,556.5951282417349
