participant_id,best_initial_guess,best_parameters,EV_Gau,EV_Dir,best_weight,best_obj_weight,best_nll,AIC,BIC
15,"[4.267992543502416, 0.8713434320722241, 0.6754746669193488, 2.0272614272622156]",[4.95779455e-01 4.13687325e-01 1.00577915e-04 2.39981495e+00],[ 0.29324088  0.03667234  0.79816359 -0.15807529],[1.01700281e-04 1.13322798e-01 8.66150391e-01 2.04251109e-02],[],[],267.25564515473604,542.5112903094721,558.4771484979041
16,"[3.7841618529210224, 0.3678110572362856, 0.3747414981703686, 1.6912775631455683]",[1.02388310e+00 4.59013823e-01 6.17760214e-02 1.00000000e-04],[0.52477524 0.21485395 0.95858499 0.22049187],[9.99547134e-01 3.81658791e-06 6.16856067e-05 3.87363654e-04],[],[],224.06821863063428,456.13643726126855,472.1022954497005
17,"[0.6968685747206239, 0.45806569569129174, 0.3236327758272731, 2.994231372015074]",[0.48676658 0.53234332 0.15719903 3.00719496],[0.10903181 0.67848878 0.79738272 0.13545154],[1.75104645e-01 7.48125841e-01 7.67690938e-02 4.19199189e-07],[],[],270.2861877038203,548.5723754076406,564.5382335960726
18,"[3.8502668146338364, 0.3688725157101622, 0.4746653456407677, 0.4636962411570176]",[2.84610926e+00 1.00000000e-04 8.45860770e-01 7.46219996e-01],[1.01683598 1.01514566 1.01666646 1.01701122],[0.54174555 0.16705238 0.24973388 0.04146819],[],[],270.35480850679403,548.7096170135881,564.67547520202
19,"[3.0841275022181707, 0.7807722513745352, 0.7594875656840931, 3.8417920363557596]",[1.0000e-04 1.0000e-04 1.0000e-04 3.9999e+00],[-0.30051421 -0.30169109 -0.30217009 -0.30343588],[0.3332479  0.32488073 0.17947929 0.16239208],[],[],276.56572592093835,561.1314518418767,577.0973100303087
20,"[4.561926190202594, 0.6990838609078702, 0.9063719829418508, 0.09415453473436998]",[5.27526327e-01 7.06157336e-01 1.00000000e-04 3.99990000e+00],[ 0.31248185  0.79520901  0.82822055 -0.02903066],[4.67659689e-05 2.08571770e-02 9.79096057e-01 8.79249614e-25],[],[],266.57915567290524,541.1583113458105,557.1241695342425
21,"[0.30127780347367034, 0.3455092771167524, 0.8017192601537793, 1.6055290405457598]",[0.93572992 0.01716663 0.01946031 0.11487202],[0.89978609 0.72566504 1.09394667 0.87273935],[0.36850122 0.1937167  0.42242928 0.01535281],[],[],273.1350644814457,554.2701289628914,570.2359871513233
22,"[2.5001444258778727, 0.6329806157055681, 0.5675191990892595, 1.0998828797234543]",[1.40369751 0.01469852 0.70380712 0.94569595],[1.04731702 0.82546599 1.05227066 1.03203894],[0.39475069 0.23876991 0.29183561 0.07464379],[],[],262.80039637572975,533.6007927514595,549.5666509398915
23,"[0.6281180126440601, 0.6780881667797485, 0.0006047297664475893, 1.4072695610188253]",[2.17345479e+00 1.00000000e-04 9.99900000e-01 3.77796866e+00],[-0.27168582 -0.27139454 -0.27283864 -0.27367908],[0.26534476 0.40137157 0.17924964 0.15403403],[],[],259.8353931552336,527.6707863104672,543.6366444988992
24,"[0.49076650470711647, 0.03827713185181153, 0.045426113836829214, 2.062971713370274]",[0.75718494 0.1447929  0.38284921 3.9999    ],[0.5848804  0.41216341 0.70282703 0.28694808],[0.50653449 0.27236002 0.20076459 0.0203409 ],[],[],268.9741386799265,545.948277359853,561.914135548285
25,"[1.3084811390590063, 0.5679767458820371, 0.9683763615349327, 0.5705609493431448]",[4.62569467e+00 1.00000000e-04 8.95480792e-01 3.12302282e-01],[0.56036602 0.55856382 0.55947886 0.55900804],[0.64418395 0.0506892  0.25434768 0.05077918],[],[],146.11798447706948,300.23596895413897,316.2018271425709
26,"[2.8986937770441195, 0.648346655576185, 0.9936966763631548, 1.0913299308874056]",[1.91238877 0.04589955 0.64002666 0.83958953],[0.63542706 0.20997151 0.549569   0.2125871 ],[0.58787727 0.02607748 0.35884121 0.02720405],[],[],192.00298109991542,392.00596219983083,407.97182038826276
27,"[1.653507336415241, 0.2863219431440094, 0.7041438000042157, 0.08440567964627821]",[4.30256059e+00 4.78503286e-04 6.55420839e-01 8.51430546e-01],[-0.22371684 -0.2456148  -0.23785125 -0.2446547 ],[0.53080409 0.12474653 0.21839944 0.12604993],[],[],230.25723695172988,468.51447390345976,484.4803320918917
28,"[2.2532873060947103, 0.31197643489720445, 0.25170918702727574, 1.0896468648361148]",[4.51186324e+00 1.00000000e-04 9.00595735e-01 8.05871435e-01],[0.62697416 0.62584112 0.62666527 0.62604709],[0.46017496 0.20629704 0.25415087 0.07937713],[],[],256.80369281724836,521.6073856344967,537.5732438229287
29,"[2.423172352811692, 0.13428141567175209, 0.8199734801724473, 0.5246657610023295]",[1.12938626e+00 4.38075557e-04 9.99900000e-01 1.00000000e-04],[0.65949644 0.650639   0.65931988 0.65267242],[0.35672769 0.30953054 0.15647505 0.17726673],[],[],258.9834926212452,525.9669852424904,541.9328434309224
30,"[3.145860742091414, 0.18617982562874646, 0.16816738273463486, 0.39043613263541144]",[1.30143791 0.26338755 0.96383254 0.03533418],[1.03940937 0.18439892 0.66574224 0.34995005],[3.36967743e-01 5.23680118e-01 1.39352138e-01 3.03683854e-14],[],[],220.1109930481143,448.2219860962286,464.1878442846605
31,"[0.2707363716172248, 0.8751675705846985, 0.7255773235380228, 1.9036876376597929]",[4.9999000e+00 1.0000000e-04 9.7295627e-01 8.3533395e-01],[0.36233136 0.36233234 0.36396563 0.36233136],[0.01326164 0.50673479 0.46674193 0.01326164],[],[],139.4545700429394,286.9091400858788,302.8749982743107
32,"[2.6408147077974746, 0.3964248979206533, 0.887927314242004, 3.2205738572557836]",[1.71047934e+00 1.99253044e-02 3.45154457e-03 1.00000000e-04],[0.92787793 0.8820957  0.98877078 0.99131961],[0.64137463 0.1571741  0.19272081 0.00873046],[],[],250.15589176982584,508.3117835396517,524.2776417280836
33,"[2.6575269610183234, 0.21133079800989255, 0.8862750096972112, 0.5975292086813812]",[1.71100123e+00 8.47394627e-04 9.99900000e-01 3.02735828e+00],[-0.23471132 -0.2239175  -0.22780336 -0.25182793],[0.200956   0.44351788 0.29804911 0.05747701],[],[],265.20068800113495,538.4013760022699,554.3672341907019
34,"[2.46941740061594, 0.03118680968788761, 0.6749094936548773, 3.21383880032711]",[4.9999000e+00 1.0000000e-04 5.0225942e-01 1.0000000e-04],[0.95782879 0.95851297 0.95857092 0.95921099],[0.55049611 0.04968201 0.24991756 0.14990432],[],[],198.6922947692798,405.3845895385596,421.35044772699155
35,"[0.9242628070107883, 0.15128318122576115, 0.3155133349654967, 1.0931580216627916]",[1.89773438e+00 1.00000000e-04 7.58205232e-01 1.00000000e-04],[0.28471757 0.28362974 0.2852609  0.28344417],[0.28580752 0.32140863 0.36907887 0.02370498],[],[],239.88588562667627,487.77177125335254,503.73762944178446
36,"[1.0280583029664239, 0.3795423651126509, 0.6790077753473325, 3.8048503750954814]",[1.33276884e+00 1.83532278e-02 9.99900000e-01 1.00000000e-04],[0.30199159 0.3224437  0.2961768  0.1407405 ],[0.24953898 0.43081641 0.24260009 0.07704453],[],[],263.14941480929576,534.2988296185915,550.2646878070235
37,"[4.425679039442026, 0.8380793039750506, 0.7016326653524029, 2.843424251517548]",[1.11406412e+00 8.36597542e-02 1.00000000e-04 2.62398087e+00],[0.70642186 0.30424353 0.74368158 0.09991752],[0.24177605 0.28253189 0.46191449 0.01377756],[],[],248.23471160769583,504.46942321539166,520.4352814038236
38,"[1.760012750995261, 0.5964080548877709, 0.7199788531001737, 3.667506742909063]",[6.56713738e-01 1.13796155e-01 2.14466084e-03 3.96667165e+00],[0.69228485 0.24664907 0.89870735 0.25940624],[0.64355592 0.04995092 0.28781634 0.01867682],[],[],269.7905072374852,547.5810144749704,563.5468726634024
39,"[2.7959241801629293, 0.16528638387841768, 0.29841185981749296, 1.288763340589078]",[1.95061729e-01 8.17951491e-03 9.99900000e-01 1.00000000e-04],[1.11872181 0.9912715  1.13961009 1.12088441],[0.29519554 0.38971788 0.24403688 0.07104969],[],[],276.517492846525,561.03498569305,577.000843881482
40,"[1.8961006962995663, 0.8563462334111438, 0.09733723800357098, 2.3045001475518094]",[1.19324842 0.06899552 0.99844063 2.89475149],[0.51534684 0.45754277 0.7777119  0.55290759],[0.53050641 0.28020512 0.18813987 0.0011486 ],[],[],257.0076958040213,522.0153916080426,537.9812497964746
41,"[1.5227317654187202, 0.6960368196822979, 0.993077860226853, 3.9558517462601563]",[4.99990000e+00 5.26499194e-04 9.99313690e-01 3.99990000e+00],[0.72819592 0.72484762 0.73356136 0.72704699],[0.50230743 0.09760901 0.30141149 0.09867207],[],[],221.09554129923706,450.1910825984741,466.15694078690603
42,"[1.9653744028949154, 0.1930539699999518, 0.20909531770246856, 1.9751136692675029]",[1.16495254e+00 1.39800067e-01 9.99900000e-01 1.00000000e-04],[0.93510852 0.31056638 0.58839949 0.13135084],[0.76787987 0.14710458 0.07686143 0.00815412],[],[],227.34319988421743,462.68639976843485,478.6522579568668
43,"[4.875546648714484, 0.8200939640259907, 0.5329761812338832, 0.7804860741057613]",[2.42239801e+00 1.00000000e-04 9.77179003e-01 1.06456647e+00],[0.2947032  0.29166401 0.29354606 0.29170714],[0.62624521 0.02019562 0.34351741 0.01004176],[],[],188.90981882332974,385.8196376466595,401.7854958350914
44,"[0.6353561443640559, 0.8471954780698862, 0.17018369469795605, 3.296567077274804]",[8.20270056e-01 4.95130131e-01 1.00000000e-04 1.00000000e-04],[0.61962897 0.28895119 0.89167912 0.3121166 ],[1.43745961e-01 7.71632555e-14 8.56253895e-01 1.44134230e-07],[],[],252.55450955724194,513.1090191144839,529.0748773029159
45,"[0.8709301533071054, 0.2523649727665527, 0.03937420538735611, 1.34813515172339]",[2.88355785e+00 3.88932887e-04 5.54347157e-01 5.12619132e-01],[0.2908158  0.28469633 0.28912447 0.2846875 ],[0.39939994 0.23535816 0.258008   0.1072339 ],[],[],268.812034539058,545.624069078116,561.589927266548
46,"[1.031125822351358, 0.29200471179569915, 0.660844196425141, 3.8247648370000102]",[7.27171435e-01 2.01660347e-01 1.00000000e-04 3.99973859e+00],[0.68198588 0.22176161 0.57925816 0.28164119],[0.74674859 0.05994918 0.18456176 0.00874047],[],[],268.01056673519815,544.0211334703963,559.9869916588283
47,"[1.470472272310679, 0.04861449217147168, 0.38567084123075424, 2.5375674983401697]",[1.29823572 0.07671786 0.99988964 3.9999    ],[0.53691181 0.25008769 0.69415215 0.34575525],[0.28895836 0.37012319 0.30321926 0.0376992 ],[],[],228.61418253172332,465.22836506344663,481.19422325187855
48,"[0.1833470120384989, 0.3336060510046242, 0.4093596739646324, 1.3395715119189129]",[2.09410624e+00 5.10009334e-02 2.39748258e-01 1.00000000e-04],[0.5934952  0.48262519 0.82649797 0.4847884 ],[2.69721235e-01 1.83359635e-01 5.46553971e-01 3.65159773e-04],[],[],144.23615383073627,296.47230766147254,312.43816584990446
49,"[2.077375109201522, 0.29655393905562794, 0.7986566552075869, 1.929698855369214]",[1.95141031 0.02960908 0.57595898 0.14532809],[0.59494633 0.52627101 0.57115443 0.38014112],[0.6466327  0.09782935 0.01231134 0.24322661],[],[],214.24314208515213,436.48628417030426,452.4521423587362
50,"[0.7812523732330502, 0.4181386117677236, 0.8560251276947896, 0.8352255263036511]",[1.36286757 0.03480056 0.91900103 1.68494368],[0.47243189 0.40269954 0.52759704 0.30161921],[0.24426831 0.39972832 0.22204423 0.13395914],[],[],255.78328787541147,519.566575750823,535.5324339392549
51,"[3.765881154428899, 0.7067400245990997, 0.5315798776871078, 3.3806082253427183]",[4.36402432e-01 6.27241259e-01 1.00000000e-04 6.27098615e-01],[0.56036403 0.3179549  0.68857376 0.78395077],[3.36141311e-01 1.76172005e-06 5.38317132e-03 6.58473756e-01],[],[],270.0850182008241,548.1700364016482,564.1358945900802
52,"[0.5947504934905493, 0.4785399391240621, 0.8926119943027024, 3.9581829189043933]",[1.16707215 0.15092758 0.70303065 3.9999    ],[0.54982125 0.21600689 0.76379183 0.31970655],[0.297664   0.25338684 0.10679393 0.34215523],[],[],247.2981108230648,502.5962216461296,518.5620798345616
53,"[1.6193466512969774, 0.26591993206639447, 0.07416963912031706, 0.8101923785050716]",[1.42261372e+00 1.00000000e-04 2.88038815e-01 1.00000000e-04],[0.6303327  0.62923965 0.63078592 0.63030957],[0.23547126 0.27447797 0.45089149 0.03915928],[],[],271.0439210483613,550.0878420967226,566.0537002851546
54,"[0.8244782331517276, 0.7375241802375212, 0.3672225911681437, 2.425147945817861]",[1.32239915e+00 1.00000000e-04 9.99900000e-01 1.00000000e-04],[0.50226441 0.50146831 0.50238009 0.50134705],[0.19239141 0.51937029 0.17313727 0.11510102],[],[],237.81621729457962,483.63243458915923,499.59829277759115
55,"[4.389011913541918, 0.4083992838145373, 0.9380467955759579, 0.8170711759921182]",[4.99990000e+00 3.71203844e-04 1.41333860e-02 1.00000000e-04],[0.85365924 0.84931241 0.853863   0.85120924],[0.55823751 0.25810405 0.14729547 0.03636297],[],[],261.9250922028287,531.8501844056574,547.8160425940894
56,"[3.2113970512988423, 0.19776392962636924, 0.3553947256052749, 2.9828856309497924]",[1.0000e-04 1.0000e-04 1.0000e-04 3.9999e+00],[0.51978836 0.51957238 0.52042645 0.5194568 ],[0.24073648 0.35184808 0.27776695 0.12964849],[],[],276.5657263238362,561.1314526476724,577.0973108361044
57,"[2.413257830820302, 0.9029022804051772, 0.8872556489933235, 0.7481017808223489]",[2.60552674e+00 1.00000000e-04 9.89630447e-01 1.36952138e+00],[0.54754541 0.54607061 0.5475143  0.54620444],[0.49201621 0.15392228 0.27704466 0.07701685],[],[],262.2490559416873,532.4981118833746,548.4639700718066
58,"[1.1774532388724854, 0.6176010882946191, 0.8386327758792317, 3.8189865969129193]",[1.14768531 0.1529295  0.93531943 3.82395685],[0.78134579 0.35004603 0.62767992 0.18619169],[0.65957101 0.2465158  0.09189652 0.00201668],[],[],249.2995549806191,506.5991099612382,522.5649681496701
59,"[0.5126393855343078, 0.2790836449656642, 0.8564394771690319, 0.023943195021813485]",[4.24777972e+00 1.00000000e-04 6.34774851e-01 1.00000000e-04],[1.17876134 1.18260906 1.18140791 1.1824907 ],[0.45015035 0.04977735 0.45029494 0.04977735],[],[],156.5866074014407,321.1732148028814,337.1390729913133
60,"[4.877955682818799, 0.7680788275814464, 0.6374848731342506, 1.5309283158103988]",[2.36454646 0.01257602 0.88056851 3.9999    ],[0.50673604 0.30479195 0.41139728 0.34936185],[0.58085195 0.0578366  0.25879471 0.10251674],[],[],207.82635426455127,423.65270852910254,439.61856671753446
61,"[0.736713257439895, 0.6863492408922032, 0.08970340180199908, 3.3910651539239685]",[1.37183768 0.01966252 0.99682829 3.9999    ],[0.84261477 0.46593616 0.8787875  0.8288188 ],[0.35857546 0.20396438 0.3787065  0.05875366],[],[],260.517227161197,529.034454322394,545.000312510826
62,"[1.1810027027362144, 0.4657480786313759, 0.11633359867871824, 0.16438928703046882]",[9.40635346e-01 2.93979121e-01 1.00000000e-04 3.44393658e+00],[1.06394589 0.41123904 0.94966235 0.46306076],[8.79906384e-01 2.29857918e-05 1.04175452e-01 1.58951784e-02],[],[],251.2522016722809,510.5044033445618,526.4702615329937
63,"[2.6284130829407553, 0.6763971119914552, 0.06294263948886823, 1.4100175799611858]",[1.16740545e+00 4.36753479e-03 9.99900000e-01 1.00000000e-04],[0.72297841 0.68994941 0.72148853 0.69393894],[0.60566524 0.08235648 0.26332443 0.04865384],[],[],256.41697577726063,520.8339515545213,536.7998097429532
64,"[2.3448619164665825, 0.2207647863705307, 0.7193344723624173, 2.6593835746664136]",[1.11341298 0.03820994 0.45844705 0.03397238],[0.62266753 0.31830999 0.55131404 0.25016823],[0.50261978 0.13008664 0.3079616  0.05933197],[],[],266.983178557479,541.966357114958,557.93221530339
65,"[2.7892118239782904, 0.6484112820681679, 0.30777844772025625, 0.8987888212858868]",[8.10712796e-01 6.22731164e-01 1.00000000e-04 1.00000000e-04],[0.73836816 1.02068489 0.9230133  0.67385059],[1.16290135e-01 6.04300136e-02 8.23279852e-01 2.16561093e-32],[],[],253.5121215067131,515.0242430134263,530.9901012018581
66,"[2.6416238304107584, 0.34046614209774523, 0.9663428984567057, 3.884739416636642]",[1.82983599e+00 1.00000000e-04 6.34224301e-01 1.00000000e-04],[0.20487285 0.20376042 0.2041044  0.20379028],[0.37904016 0.26315248 0.15768239 0.20012497],[],[],232.54380362412675,473.0876072482535,489.0534654366854
67,"[3.6859248474165938, 0.6869742948895111, 0.9283470884055584, 3.8781713974666925]",[1.16800874 0.04565522 0.50725355 3.72146569],[0.66556967 0.58531449 1.01469836 0.57564492],[0.68730656 0.00490812 0.07052607 0.23725924],[],[],252.65521948043363,513.3104389608673,529.2762971492992
68,"[0.06876366936026526, 0.23115309090444663, 0.6566517011496502, 2.392813490191401]",[0.23121818 0.22907163 0.96449399 2.37292194],[0.40896116 0.23506323 0.76372171 0.12132817],[0.93946934 0.03820893 0.00939366 0.01292807],[],[],275.7739431380707,559.5478862761414,575.5137444645734
69,"[0.5174962985573799, 0.6597638572346434, 0.41074235593206443, 2.46293977947091]",[1.66769958e+00 7.41809880e-04 9.99900000e-01 1.73621917e+00],[0.61422056 0.61132263 0.61421541 0.61049385],[0.60143889 0.05477584 0.31636678 0.02741848],[],[],225.73217893794796,459.4643578758959,475.43021606432785
70,"[1.1325522124545166, 0.7758149255694846, 0.3121897857065159, 2.8349408728954635]",[1.90107567 0.00599764 0.99415263 3.9999    ],[0.31381482 0.07323526 0.22895306 0.07204857],[0.65320367 0.01810616 0.31502934 0.01366082],[],[],163.3328535792228,334.6657071584456,350.63156534687755
71,"[0.3563669724889925, 0.08782991038573207, 0.14347224736559022, 0.22939617844897228]",[2.45426501e+00 1.00000000e-04 1.21350024e-01 1.00000000e-04],[0.69178369 0.69060947 0.69211902 0.69058761],[0.41058728 0.28189144 0.15379129 0.15372999],[],[],272.05492427641383,552.1098485528277,568.0757067412596
72,"[0.5852395748326598, 0.8917576653660527, 0.40918401180855807, 2.224174810544402]",[3.76490557e+00 1.84541194e-04 9.41197534e-01 8.55076513e-01],[0.18993168 0.1862417  0.18833147 0.18540211],[0.48878467 0.17814024 0.2664045  0.06667059],[],[],251.46506464084652,510.93012928169304,526.895987470125
73,"[3.9057023222928255, 0.47399465830633153, 0.5379127439521066, 0.7194020647904688]",[8.47667838e-01 8.62450581e-02 9.99900000e-01 1.00000000e-04],[0.72639692 0.35819658 0.63605091 0.39869124],[0.74803016 0.00728598 0.2345434  0.01014046],[],[],258.52561740200946,525.0512348040189,541.0170929924509
74,"[4.561328283384173, 0.07201541745414372, 0.859117243965284, 1.2509122634216367]",[1.0000e-04 1.0000e-04 1.0000e-04 3.9999e+00],[-0.26837998 -0.26929056 -0.26953061 -0.27115619],[0.33900699 0.32203684 0.20345823 0.13549794],[],[],276.56572616125226,561.1314523225045,577.0973105109365
75,"[2.258457295958701, 0.46282216084591765, 0.9715215364840148, 2.054291804799275]",[4.79495536e+00 2.15129599e-04 9.01246947e-01 9.32061134e-01],[0.81094699 0.80810082 0.81256735 0.80996459],[0.51784591 0.06854708 0.34508216 0.06852486],[],[],261.972058166169,531.944116332338,547.90997452077
76,"[0.7105161399641249, 0.4904761644978487, 0.8693501975700141, 2.8608696367804156]",[0.63673707 0.21115369 0.71543626 2.89549796],[0.74056097 0.01920558 0.56233549 0.22263185],[9.12982402e-07 7.21523044e-02 9.27846402e-01 3.80774084e-07],[],[],265.8688844651706,539.7377689303412,555.7036271187732
77,"[0.2920678719140083, 0.7876920860277459, 0.5471759216258734, 1.2436619553625823]",[3.19742423e+00 1.00000000e-04 9.76825106e-02 1.00000000e-04],[0.7915767  0.79013513 0.79141163 0.79068691],[0.47620511 0.2143776  0.23818873 0.07122856],[],[],272.44858353252647,552.8971670650529,568.8630252534849
78,"[1.0924140928324193, 0.5023875357354346, 0.5614080262191071, 2.530950902764612]",[0.86100076 0.06106202 0.95420847 3.9999    ],[0.64010096 0.26748487 0.44785927 0.2622773 ],[0.44144968 0.14645956 0.22563312 0.18645764],[],[],269.8672204876049,547.7344409752098,563.7002991636418
79,"[3.9902735918136614, 0.5348187521454195, 0.7987284065677295, 0.43098445600139806]",[0.97306565 0.00681096 0.1716023  0.42438769],[0.98675081 0.92303382 1.05317707 0.98303404],[0.53012465 0.06546483 0.33509078 0.06931974],[],[],275.59310319674967,559.1862063934993,575.1520645819313
80,"[0.9412378067300061, 0.18635881147598884, 0.5244001801899706, 3.2954288098621096]",[1.00000000e-04 1.00000000e-04 9.99876993e-01 2.89839817e+00],[0.05434526 0.05353479 0.05362975 0.05265055],[0.30461115 0.37169024 0.1905434  0.13315521],[],[],276.56572612239387,561.1314522447877,577.0973104332197
81,"[3.726002428052373, 0.9609140865726506, 0.10536182914867674, 0.2333995130269719]",[1.7656938  0.0570751  0.70958789 3.9999    ],[0.66037144 0.4258881  0.65251087 0.4034877 ],[0.75947896 0.02215111 0.21310864 0.00526129],[],[],216.09774242133972,440.19548484267943,456.16134303111136
82,"[0.5922635327707959, 0.08428320138469773, 0.9005578697158869, 2.294802988819141]",[0.77231719 0.07611758 0.99372527 2.29375835],[0.5153225  0.32837309 0.62246472 0.2004598 ],[0.28979892 0.22779751 0.29796224 0.18444133],[],[],273.26128120007183,554.5225624001437,570.4884205885757
83,"[4.5866110369899085, 0.20557877298793784, 0.14442545599866488, 1.3066237647086383]",[2.84874992e+00 2.95441588e-03 5.59708973e-02 1.00000000e-04],[-0.02018701 -0.07885118 -0.07579458 -0.10944775],[0.39269424 0.27563811 0.19127837 0.14038927],[],[],253.12520138644882,514.2504027728976,530.2162609613296
84,"[3.0480239599520575, 0.8183717644551772, 0.5906998631675008, 2.724746033299594]",[1.0000e-04 1.0000e-04 1.0000e-04 3.9999e+00],[0.65378377 0.65304498 0.65411644 0.65315653],[0.50056271 0.15883422 0.20432707 0.136276  ],[],[],276.56572796327686,561.1314559265537,577.0973141149857
85,"[3.448180511244931, 0.2426262667296084, 0.36310400048814495, 3.6172001601804222]",[1.37245353 0.39007733 0.9999     0.01004083],[ 0.65893221  0.44006764  0.86696804 -0.01420389],[1.88203660e-02 9.81057312e-01 9.96967539e-05 2.26248939e-05],[],[],177.9239643484698,363.8479286969396,379.81378688537154
86,"[1.0940211395660817, 0.18520759677859006, 0.2493740390715335, 2.147501998893774]",[2.31852567 0.15442479 0.98380688 3.9999    ],[0.73440277 0.22689955 0.83797396 1.53780616],[4.95941470e-01 1.15219901e-09 5.04058527e-01 1.15219901e-09],[],[],88.25509389021647,184.51018778043294,200.47604596886487
87,"[1.1599247758780677, 0.9629319852704372, 0.6858695147716249, 3.4534422384652266]",[1.56490292 0.01818703 0.97450514 3.42668289],[0.53361304 0.26601087 0.56423362 0.26601087],[0.58887455 0.003077   0.40497145 0.003077  ],[],[],217.53350328457003,443.06700656914006,459.032864757572
88,"[3.406120345860968, 0.15116525377685436, 0.6906778791961085, 1.6967392193409376]",[1.06123020e+00 2.22465719e-01 3.40902941e-01 1.00000000e-04],[0.67600053 0.3536568  0.66299675 0.2737575 ],[9.82034225e-01 1.42131285e-05 1.79453505e-02 6.21096176e-06],[],[],233.41254704490254,474.8250940898051,490.790952278237
