participant_id,best_initial_guess,best_parameters,EV_Gau,EV_Dir,best_weight,best_obj_weight,best_nll,AIC,BIC
1,"[3.691469844362503, 0.2152634140594393, 0.9264160279556718]",[2.52849455e+00 2.08840263e-02 1.00000000e-04],[0.59831774 0.55347907 0.77184759 0.58958119],[0.47735883 0.06338554 0.45704932 0.00220631],[],[],105.93390291816024,217.86780583632049,228.4321885899072
2,"[0.42315024966152304, 0.6389966122894251, 0.9379963194230232]",[8.84824175e-01 5.57661922e-01 1.00509677e-04],[0.98058212 0.2889116  0.88897575 0.41163171],[9.99788938e-01 1.09654832e-05 1.98608936e-04 1.48754241e-06],[],[],146.4884032901703,298.9768065803406,309.5411893339274
3,"[1.4148719903974083, 0.5142077112951675, 0.21597222245755143]",[1.04197016e+00 8.68515276e-02 1.00000000e-04],[0.68882022 0.37300839 0.72086455 0.45442496],[0.32699517 0.04632553 0.57863976 0.04803955],[],[],162.56593567907376,331.1318713581475,341.6962541117343
4,"[0.1019011367132996, 0.10773018950279535, 0.7378628903569278]",[1.27644144 0.20768648 0.00359008],[0.56951777 0.43361008 0.77309814 0.26240198],[0.52568145 0.22941296 0.20401808 0.04088751],[],[],142.0741902582651,290.1483805165302,300.71276327011697
5,"[0.5357708033254922, 0.3403828192586272, 0.3961072456676779]",[3.29314712 0.00407116 0.76861433],[0.42665362 0.35539179 0.44461216 0.35375668],[0.45354984 0.04116453 0.45681036 0.04847527],[],[],102.2849381664019,210.5698763328038,221.13425908639053
6,"[0.6687524765315694, 0.6877953759426543, 0.6088773883344171]",[4.23934866e+00 3.30072518e-04 8.59228403e-01],[-0.20895694 -0.22370902 -0.20922205 -0.22243222],[0.38962978 0.11033998 0.34790281 0.15212743],[],[],139.5393601424246,285.0787202848492,295.643103038436
7,"[0.2812062819152039, 0.07904421201655878, 0.31565646707250256]",[6.59421592e-01 1.39643812e-01 1.00000000e-04],[0.33267107 0.2939684  0.89426275 0.23228718],[9.27903418e-01 1.45064637e-04 3.93855669e-03 6.80129605e-02],[],[],165.93867285174346,337.8773457034869,348.4417284570737
8,"[0.12157884073474681, 0.9525885777990707, 0.6645381184623227]",[0.03674027 0.31883704 0.61635439],[0.82114189 0.19468183 0.66312385 0.46317039],[0.839086   0.12638976 0.02796321 0.00656103],[],[],172.57840983814725,351.1568196762945,361.72120242988126
9,"[0.9918204579625522, 0.5121128428829381, 0.6878004393281817]",[2.07626572e+00 7.80739845e-02 1.00000000e-04],[0.62070654 0.61321579 0.75773912 0.60570138],[3.04605847e-01 6.97879099e-07 6.95392757e-01 6.97879099e-07],[],[],74.11493781892564,154.22987563785128,164.794258391438
10,"[0.1813489629573377, 0.1399783601876412, 0.8081985652550003]",[0.57763578 0.06411215 0.91261105],[0.6093232  0.3328956  0.81957932 0.35128676],[0.48496221 0.11356645 0.14288376 0.25858759],[],[],170.77026263665277,347.54052527330555,358.1049080268923
11,"[4.521581109464125, 0.5550992431143772, 0.2244388954137482]",[4.49910371e+00 1.00000000e-04 9.95679065e-01],[0.73127386 0.73102887 0.73220548 0.73171122],[0.55554687 0.05547093 0.37058805 0.01839415],[],[],98.44665116939508,202.89330233879016,213.4576850923769
12,"[2.630891458743417, 0.9952490326693001, 0.31895634659698835]",[2.70876687 0.01172142 0.7858601 ],[1.05696664 1.1854944  1.08836753 1.19874031],[0.58554387 0.02309214 0.36827184 0.02309214],[],[],119.57046106612925,245.1409221322585,255.70530488584524
13,"[3.6340705693547464, 0.5574278563215136, 0.6192719608362071]",[4.99990000e+00 1.90541539e-04 9.98216341e-01],[0.4282191  0.42296835 0.42563785 0.42318227],[0.63326434 0.00904696 0.33948726 0.01820144],[],[],31.74531825307518,69.49063650615037,80.0550192597371
14,"[3.6994447391689116, 0.13491223775649566, 0.04530849257578124]",[0.8464424  0.06790016 0.9999    ],[0.66925031 0.36159822 0.73692579 0.36674097],[0.19100953 0.23067135 0.25924247 0.31907666],[],[],169.33314991515127,344.66629983030253,355.2306825838893
15,"[1.1698546406440327, 0.4205107669418267, 0.9062564880500116]",[3.59559275e+00 1.00000000e-04 9.88612447e-01],[-0.20580919 -0.21078038 -0.2069663  -0.21186046],[0.52309373 0.12794884 0.32229598 0.02666146],[],[],88.41947144400389,182.83894288800778,193.4033256415945
