mu1,mu2,mu3,sd1,sd2,sd3,ppi1,ppi2,ppi3,ll,ll_null,aic,aic_null,bic,bic_null,R2
0.990,0.512,0.000,0.017,0.260,0.000,0.154,0.715,0.132,1449.872,-92.968,-2883.743,189.937,-2855.075,197.104,16.595
0.990,0.512,0.000,0.017,0.260,0.000,0.154,0.715,0.132,1449.872,-92.968,-2883.743,189.937,-2855.075,197.104,16.595
0.990,0.512,0.000,0.017,0.260,0.000,0.154,0.715,0.132,1449.872,-92.968,-2883.743,189.937,-2855.075,197.104,16.595
0.990,0.512,0.000,0.017,0.260,0.000,0.154,0.715,0.132,1449.872,-92.968,-2883.743,189.937,-2855.075,197.104,16.595
0.990,0.512,0.000,0.017,0.260,0.000,0.154,0.715,0.132,1449.872,-92.968,-2883.743,189.937,-2855.075,197.104,16.595
0.990,0.512,0.000,0.017,0.260,0.000,0.154,0.715,0.132,1449.872,-92.968,-2883.743,189.937,-2855.075,197.104,16.595
0.990,0.512,0.000,0.017,0.260,0.000,0.154,0.715,0.132,1449.872,-92.968,-2883.743,189.937,-2855.075,197.104,16.595
0.990,0.512,0.000,0.017,0.260,0.000,0.154,0.715,0.132,1449.872,-92.968,-2883.743,189.937,-2855.075,197.104,16.595
0.990,0.512,0.000,0.017,0.260,0.000,0.154,0.715,0.132,1449.872,-92.968,-2883.743,189.937,-2855.075,197.104,16.595
0.990,0.512,0.000,0.017,0.260,0.000,0.154,0.715,0.132,1449.872,-92.968,-2883.743,189.937,-2855.075,197.104,16.595
0.990,0.440,0.432,0.017,0.000,0.310,0.154,0.041,0.805,308.190,-92.968,-600.379,189.937,-571.711,197.104,4.315
0.990,0.512,0.000,0.017,0.260,0.000,0.154,0.715,0.132,1449.872,-92.968,-2883.743,189.937,-2855.075,197.104,16.595
0.990,0.512,0.000,0.017,0.260,0.000,0.154,0.715,0.132,1449.872,-92.968,-2883.743,189.937,-2855.075,197.104,16.595
0.990,0.512,0.000,0.017,0.260,0.000,0.154,0.715,0.132,1449.872,-92.968,-2883.743,189.937,-2855.075,197.104,16.595
0.672,0.133,0.000,0.249,0.062,0.000,0.748,0.120,0.132,1414.297,-92.968,-2812.594,189.937,-2783.926,197.104,16.213
0.990,0.512,0.000,0.017,0.260,0.000,0.154,0.715,0.132,1449.872,-92.968,-2883.743,189.937,-2855.075,197.104,16.595
0.990,0.512,0.000,0.017,0.260,0.000,0.154,0.715,0.132,1449.872,-92.968,-2883.743,189.937,-2855.075,197.104,16.595
