Subnum,Condition,Phase,Option,Value,err,abs_err,BestOption,Confidence,CA_diff,CA_diff_normalized,Value_normalized,BestOption_CA,training_accuracy,CA_diff_abs
1,Baseline,1,A,1.26,0.61,0.61,0.65,2.0,,,0.2540322580645161,0.35,0.6083333333333334,
1,Baseline,1,C,2.03,1.2799999999999998,1.2799999999999998,0.65,5.0,,,1.0231854838709675,0.35,0.6083333333333334,
1,Baseline,5,A,2.3,1.65,1.65,0.55,5.0,,,1.0849056603773586,0.35,0.6083333333333334,
1,Baseline,5,C,0.5,-0.25,0.25,0.55,9.0,,,0.42452830188679247,0.35,0.6083333333333334,
2,Baseline,1,A,0.2,-0.45,0.45,0.65,4.0,0.8,0.5333333333333333,0.18181818181818182,1.0,0.5083333333333333,0.8
2,Baseline,1,C,0.8,0.050000000000000044,0.050000000000000044,0.65,4.0,0.8,0.5333333333333333,0.7272727272727273,1.0,0.5083333333333333,0.8
2,Frequency,1,A,0.9,0.25,0.25,0.5,4.0,0.0,0.0,0.6206896551724138,0.1,0.5916666666666667,0.0
2,Frequency,1,C,0.8,0.050000000000000044,0.050000000000000044,0.5,4.0,0.0,0.0,0.5517241379310345,0.1,0.5916666666666667,0.0
2,Baseline,2,A,0.5,-0.15000000000000002,0.15000000000000002,0.35,5.0,0.8,0.5333333333333333,0.38461538461538464,1.0,0.5083333333333333,0.8
2,Baseline,2,C,1.2,0.44999999999999996,0.44999999999999996,0.35,5.0,0.8,0.5333333333333333,0.9230769230769231,1.0,0.5083333333333333,0.8
2,Frequency,2,A,1.2,0.5499999999999999,0.5499999999999999,0.65,7.0,0.0,0.0,0.9333333333333333,0.1,0.5916666666666667,0.0
2,Frequency,2,C,0.2,-0.55,0.55,0.65,5.0,0.0,0.0,0.1111111111111111,0.1,0.5916666666666667,0.0
2,Baseline,3,A,0.5,-0.15000000000000002,0.15000000000000002,0.6,5.0,0.8,0.5333333333333333,0.3597122302158273,1.0,0.5083333333333333,0.8
2,Baseline,3,C,1.3,0.55,0.55,0.6,5.0,0.8,0.5333333333333333,0.935251798561151,1.0,0.5083333333333333,0.8
2,Frequency,3,A,0.9,0.25,0.25,0.65,8.0,0.0,0.0,0.6428571428571429,0.1,0.5916666666666667,0.0
2,Frequency,3,C,0.6,-0.15000000000000002,0.15000000000000002,0.65,8.0,0.0,0.0,0.4285714285714286,0.1,0.5916666666666667,0.0
2,Baseline,4,A,0.5,-0.15000000000000002,0.15000000000000002,0.4,5.0,0.8,0.5333333333333333,0.24390243902439024,1.0,0.5083333333333333,0.8
2,Baseline,4,C,1.3,0.55,0.55,0.4,6.0,0.8,0.5333333333333333,0.7609756097560977,1.0,0.5083333333333333,0.8
2,Frequency,4,A,0.9,0.25,0.25,0.65,8.0,0.0,0.0,0.6428571428571429,0.1,0.5916666666666667,0.0
2,Frequency,4,C,0.6,-0.15000000000000002,0.15000000000000002,0.65,8.0,0.0,0.0,0.4285714285714286,0.1,0.5916666666666667,0.0
2,Baseline,5,A,0.4,-0.25,0.25,0.55,7.0,0.8,0.5333333333333333,0.2857142857142857,1.0,0.5083333333333333,0.8
2,Baseline,5,C,1.2,0.44999999999999996,0.44999999999999996,0.55,7.0,0.8,0.5333333333333333,0.8571428571428571,1.0,0.5083333333333333,0.8
2,Frequency,5,A,0.9,0.25,0.25,0.6,8.0,0.0,0.0,0.6666666666666666,0.1,0.5916666666666667,0.0
2,Frequency,5,C,0.5,-0.25,0.25,0.6,8.0,0.0,0.0,0.37037037037037035,0.1,0.5916666666666667,0.0
2,Baseline,6,A,0.5,-0.15000000000000002,0.15000000000000002,0.5,8.0,0.8,0.5333333333333333,0.33333333333333326,1.0,0.5083333333333333,0.8
2,Baseline,6,C,1.3,0.55,0.55,0.5,8.0,0.8,0.5333333333333333,0.8666666666666666,1.0,0.5083333333333333,0.8
2,Frequency,6,A,0.8,0.15000000000000002,0.15000000000000002,0.5,8.0,0.0,0.0,0.5871559633027523,0.1,0.5916666666666667,0.0
2,Frequency,6,C,0.8,0.050000000000000044,0.050000000000000044,0.5,8.0,0.0,0.0,0.5871559633027523,0.1,0.5916666666666667,0.0
5,Baseline,1,A,0.55,-0.09999999999999998,0.09999999999999998,0.65,3.0,0.09999999999999998,0.44999999999999996,0.37714285714285717,1.0,0.5583333333333333,0.09999999999999998
5,Baseline,1,C,1.23,0.48,0.48,0.65,4.0,0.09999999999999998,0.44999999999999996,1.1245714285714286,1.0,0.5583333333333333,0.09999999999999998
