Subnum,AB,CD,CA,CB,AD,BD
1,0.475,0.45,0.5,0.15,0.35,0.5
2,0.5875,0.6,0.1,0.35,1.0,0.9
3,0.0,1.0,0.0,0.0,1.0,1.0
4,0.6125,0.75,0.1,0.2,1.0,0.85
5,0.675,0.525,0.05,0.8,1.0,1.0
6,0.6125,0.575,0.4,0.75,0.65,0.45
7,0.0,1.0,0.6,0.5,0.8,0.8
9,0.5625,0.45,0.55,0.9,0.85,0.05
10,0.875,0.7,0.8,0.85,0.15,0.05
11,0.7625,0.65,0.85,1.0,0.9,0.1
12,0.7125,0.125,0.1,0.15,0.75,0.75
13,0.5875,0.45,0.9,0.95,0.1,0.05
14,0.4375,0.65,0.6,0.65,0.5,0.25
15,0.5125,0.525,0.6,0.4,0.35,0.55
16,0.65,0.275,0.0,0.0,1.0,0.95
17,0.6,0.325,0.35,0.15,0.5,0.75
18,0.4625,0.725,0.3,0.5,0.85,0.5
19,0.5,0.5,0.45,0.5,0.45,0.5
20,0.4125,0.65,0.95,0.8,0.05,0.25
21,0.5125,0.45,0.7,0.6,0.7,0.4
22,0.475,0.575,0.4,0.5,0.5,0.4
23,0.375,0.5,0.3,0.95,0.8,0.0
24,0.5125,0.475,0.85,0.55,0.5,0.8
25,0.725,0.65,0.0,1.0,0.95,0.1
26,0.65,0.625,0.15,1.0,0.95,0.0
27,0.8,0.625,0.05,1.0,0.95,0.05
28,0.6125,0.675,0.5,0.85,0.3,0.45
29,0.225,0.15,0.65,0.5,0.25,0.35
30,0.5,0.875,0.3,0.15,0.85,0.95
31,0.0,1.0,0.85,0.6,0.95,1.0
32,0.65,0.65,0.4,0.85,0.9,0.4
33,0.2875,0.85,0.55,0.4,0.8,0.65
34,0.8125,0.775,0.15,1.0,0.75,0.05
35,0.35,0.925,0.1,0.1,0.95,1.0
36,0.275,0.575,0.35,0.25,0.8,0.9
37,0.55,0.6,0.2,0.85,0.95,0.9
38,0.4625,0.5,0.9,0.9,0.1,0.0
39,0.4375,0.575,1.0,0.5,0.4,0.7
40,0.5125,0.65,0.1,0.0,0.9,0.9
41,0.625,0.425,0.95,1.0,0.0,0.0
42,0.675,0.475,0.0,0.0,0.95,1.0
43,0.975,1.0,0.0,0.0,1.0,1.0
44,0.5125,0.45,1.0,1.0,0.0,0.0
