Subnum,Condition,Phase,Option,Value,err,abs_err,BestOption,Confidence,CA_diff,CA_diff_normalized,Value_normalized,BestOption_CA,training_accuracy
26,Baseline,4,A,0.7,0.04999999999999993,0.04999999999999993,0.5,7.0,0.30000000000000004,0.25531914893617025,0.6242038216560509,0.95,0.625
26,Baseline,5,A,0.7,0.04999999999999993,0.04999999999999993,0.55,10.0,0.30000000000000004,0.25531914893617025,0.6086956521739131,0.95,0.625
26,Baseline,6,A,0.7,0.04999999999999993,0.04999999999999993,1.0,10.0,0.30000000000000004,0.25531914893617025,0.5957446808510638,0.95,0.625
26,Baseline,7,A,0.7,0.04999999999999993,0.04999999999999993,0.725,10.0,0.30000000000000004,0.25531914893617025,0.6086956521739131,0.95,0.625
26,Frequency,1,A,0.8,0.15000000000000002,0.15000000000000002,0.35,10.0,0.19999999999999996,0.16000000000000003,0.9638554216867469,0.15,0.6416666666666666
26,Frequency,2,A,0.8,0.15000000000000002,0.15000000000000002,0.45,10.0,0.19999999999999996,0.16000000000000003,1.0666666666666667,0.15,0.6416666666666666
26,Frequency,3,A,0.8,0.15000000000000002,0.15000000000000002,0.45,10.0,0.19999999999999996,0.16000000000000003,1.8390804597701151,0.15,0.6416666666666666
26,Frequency,4,A,1.0,0.35,0.35,0.65,10.0,0.19999999999999996,0.16000000000000003,1.1111111111111112,0.15,0.6416666666666666
26,Frequency,5,A,0.8,0.15000000000000002,0.15000000000000002,0.95,10.0,0.19999999999999996,0.16000000000000003,0.64,0.15,0.6416666666666666
26,Frequency,6,A,0.8,0.15000000000000002,0.15000000000000002,1.0,10.0,0.19999999999999996,0.16000000000000003,0.64,0.15,0.6416666666666666
26,Frequency,7,A,0.8,0.15000000000000002,0.15000000000000002,0.525,10.0,0.19999999999999996,0.16000000000000003,0.7272727272727273,0.15,0.6416666666666666
27,Baseline,1,A,0.5,-0.15000000000000002,0.15000000000000002,0.25,1.0,0.0,0.1578947368421052,2.0,0.05,0.3333333333333333
27,Baseline,2,A,0.3,-0.35000000000000003,0.35000000000000003,0.3,3.0,0.0,0.1578947368421052,0.23684210526315788,0.05,0.3333333333333333
