"Value","Condition","fit","lower","upper","Parameter","Model"
1e-04,"Baseline",0.512926621662538,0.491110609762022,0.534742633563054,"t",NA
0.0252246231155779,"Baseline",0.513560788401207,0.491799494294747,0.535322082507666,"t",NA
0.0503492462311558,"Baseline",0.514194955139876,0.492487293493136,0.535902616786615,"t",NA
0.0754738693467337,"Baseline",0.514829121878545,0.493173999293163,0.536484244463927,"t",NA
0.100598492462312,"Baseline",0.515463288617214,0.493859603717557,0.53706697351687,"t",NA
0.125723115577889,"Baseline",0.516097455355883,0.494544098880928,0.537650811830837,"t",NA
0.150847738693467,"Baseline",0.516731622094551,0.495227476994911,0.538235767194192,"t",NA
0.175972361809045,"Baseline",0.51736578883322,0.495909730373349,0.538821847293092,"t",NA
0.201096984924623,"Baseline",0.517999955571889,0.496590851437489,0.53940905970629,"t",NA
0.226221608040201,"Baseline",0.518634122310558,0.497270832721198,0.539997411899919,"t",NA
0.251346231155779,"Baseline",0.519268289049227,0.497949666876177,0.540586911222277,"t",NA
0.276470854271357,"Baseline",0.519902455787896,0.498627346677183,0.541177564898609,"t",NA
0.301595477386935,"Baseline",0.520536622526565,0.499303865027235,0.541769380025895,"t",NA
0.326720100502513,"Baseline",0.521170789265234,0.499979214962812,0.542362363567656,"t",NA
0.35184472361809,"Baseline",0.521804956003903,0.500653389659022,0.542956522348784,"t",NA
0.376969346733668,"Baseline",0.522439122742572,0.501326382434743,0.543551863050402,"t",NA
0.402093969849246,"Baseline",0.523073289481241,0.501998186757721,0.544148392204761,"t",NA
0.427218592964824,"Baseline",0.52370745621991,0.50266879624963,0.544746116190191,"t",NA
0.452343216080402,"Baseline",0.524341622958579,0.50333820469106,0.545345041226098,"t",NA
0.47746783919598,"Baseline",0.524975789697248,0.504006406026459,0.545945173368037,"t",NA
0.502592462311558,"Baseline",0.525609956435917,0.504673394368991,0.546546518502843,"t",NA
0.527717085427136,"Baseline",0.526244123174586,0.505339164005315,0.547149082343857,"t",NA
0.552841708542714,"Baseline",0.526878289913255,0.506003709400282,0.547752870426228,"t",NA
0.577966331658291,"Baseline",0.527512456651924,0.506667025201521,0.548357888102327,"t",NA
0.603090954773869,"Baseline",0.528146623390593,0.507329106243935,0.548964140537251,"t",NA
0.628215577889447,"Baseline",0.528780790129262,0.507989947554069,0.549571632704455,"t",NA
0.653340201005025,"Baseline",0.529414956867931,0.508649544354363,0.550180369381498,"t",NA
0.678464824120603,"Baseline",0.5300491236066,0.509307892067274,0.550790355145925,"t",NA
0.703589447236181,"Baseline",0.530683290345269,0.509964986319255,0.551401594371282,"t",NA
0.728714070351759,"Baseline",0.531317457083938,0.510620822944594,0.552014091223281,"t",NA
0.753838693467337,"Baseline",0.531951623822607,0.511275397989093,0.55262784965612,"t",NA
0.778963316582915,"Baseline",0.532585790561276,0.511928707713589,0.553242873408962,"t",NA
0.804087939698493,"Baseline",0.533219957299945,0.512580748597307,0.553859166002582,"t",NA
0.829212562814071,"Baseline",0.533854124038614,0.513231517341036,0.554476730736192,"t",NA
0.854337185929648,"Baseline",0.534488290777283,0.513881010870122,0.555095570684443,"t",NA
0.879461809045226,"Baseline",0.535122457515952,0.514529226337279,0.555715688694624,"t",NA
0.904586432160804,"Baseline",0.53575662425462,0.515176161125197,0.556337087384044,"t",NA
0.929711055276382,"Baseline",0.536390790993289,0.515821812848959,0.55695976913762,"t",NA
0.95483567839196,"Baseline",0.537024957731958,0.516466179358245,0.557583736105672,"t",NA
0.979960301507538,"Baseline",0.537659124470627,0.517109258739336,0.558208990201919,"t",NA
1.00508492462312,"Baseline",0.538293291209296,0.517751049316897,0.558835533101696,"t",NA
1.03020954773869,"Baseline",0.538927457947965,0.518391549655545,0.559463366240386,"t",NA
1.05533417085427,"Baseline",0.539561624686634,0.519030758561196,0.560092490812073,"t",NA
1.08045879396985,"Baseline",0.540195791425303,0.519668675082189,0.560722907768418,"t",NA
1.10558341708543,"Baseline",0.540829958163972,0.520305298510182,0.561354617817763,"t",NA
