Subnum,AIC,BIC,model,Condition,t,alpha,scale,la,alpha_neg,weight
80,278.9918766290537,285.5885113621498,delta,Baseline,4.64593924,0.0001,,,,
80,279.1679980440733,292.3612675102654,delta_PVL,Baseline,4.23274992,0.0001,0.0001,4.9999,,
80,276.94522408384216,286.8401761834863,delta_asymmetric,Baseline,0.377283414,0.0001,,,0.9999,
80,279.1461737664758,285.7428084995719,decay,Baseline,0.01323033,0.0001,,,,
80,278.1925889491828,291.3858584153749,decay_PVL,Baseline,0.496680353,0.9999,0.0001,0.0001,,
80,274.95652782190865,281.55316255500475,decay_win,Baseline,0.05562822,0.0001,,,,
80,274.61361523387086,287.806884700063,delta_asymmetric_decay_win,Baseline,0.690121434,0.958376347,,,0.788834963,0.0001
80,279.8725830226265,286.4692177557226,delta,Frequency,0.0001,0.0001,,,,
80,281.8527717674318,295.04604123362395,delta_PVL,Frequency,0.0743660619,0.9999,0.0001,4.9999,,
80,281.8725830226265,291.7675351222706,delta_asymmetric,Frequency,0.0001,0.0001,,,0.0001,
80,276.1647462580538,282.7613809911499,decay,Frequency,0.41760185,0.80775312,,,,
80,277.2213055653941,290.41457503158625,decay_PVL,Frequency,0.368144576,0.501895348,0.0001,0.0001,,
80,272.00884820877496,278.60548294187106,decay_win,Frequency,0.46642289,0.69022603,,,,
80,275.5620070547065,288.75527652089863,delta_asymmetric_decay_win,Frequency,0.399014173,0.362769234,,,0.9999,0.0001
81,231.9499505731283,238.5465853062244,delta,Baseline,4.9999,0.000403084102,,,,
81,231.58227025584188,244.775539722034,delta_PVL,Baseline,4.9999,0.000577954166,0.9999,0.0001,,
81,229.76893142185617,239.66388352150028,delta_asymmetric,Baseline,4.2070174,0.00140032061,,,0.0001,
81,230.1820413143882,236.77867604748425,decay,Baseline,0.108744351,0.0001,,,,
81,231.5282334150436,244.72150288123572,decay_PVL,Baseline,0.118954513,0.0001,0.9999,0.0001,,
81,232.57239291923992,239.169027652336,decay_win,Baseline,0.16524942,0.0104128,,,,
81,231.3370546899971,244.53032415618924,delta_asymmetric_decay_win,Baseline,1.37262324,0.0399760531,,,0.0001,0.682178235
81,180.34573357510357,186.9423683081996,delta,Frequency,2.03491485,0.18730627,,,,
81,182.05472189523272,195.24799136142485,delta_PVL,Frequency,2.03813412,0.189348627,0.9999,0.0001,,
81,177.7515663214868,187.6465184211309,delta_asymmetric,Frequency,1.89934209,0.31446707,,,0.16285439,
81,241.87573905593737,248.47237378903344,decay,Frequency,0.3333647,0.13757039,,,,
81,245.50793776527829,258.70120723147045,decay_PVL,Frequency,0.277194061,0.104981872,0.9999,0.0001,,
81,221.8191838752869,228.415818608383,decay_win,Frequency,1.23965959,0.41195862,,,,
81,184.2881458306288,197.48141529682096,delta_asymmetric_decay_win,Frequency,2.28098643,0.9999,,,0.13408371,0.73617998
82,244.381189044953,250.97782377804907,delta,Baseline,0.91839077,0.85242388,,,,
82,246.5232543157554,259.7165237819476,delta_PVL,Baseline,0.939696584,0.863988793,0.9999,0.0001,,
82,245.7189664760783,255.6139185757224,delta_asymmetric,Baseline,0.95163776,0.93002776,,,0.56802281,
82,258.6526434715951,265.2492782046912,decay,Baseline,0.06203145,0.0001,,,,
82,261.80581632403715,274.9990857902293,decay_PVL,Baseline,0.0635773947,0.0001,0.9999,0.0001,,
82,245.34503244488647,251.9416671779825,decay_win,Baseline,0.2315951,0.01381303,,,,
82,247.8102175814288,261.0034870476209,delta_asymmetric_decay_win,Baseline,0.94900043,0.92392035,,,0.57325062,0.9999
82,279.87258213367346,286.4692168667696,delta,Frequency,0.0001,0.0001,,,,
82,283.87258209514226,297.0658515613344,delta_PVL,Frequency,0.0001,0.0001,0.9999,3.53873498,,
82,275.8353992090594,285.7303513087035,delta_asymmetric,Frequency,1.03322329,0.0001,,,0.274448458,
82,279.8737454428379,286.470380175934,decay,Frequency,0.0001,0.907560356,,,,
82,283.87345707505483,297.06672654124696,decay_PVL,Frequency,0.0001,0.999895883,0.0001,0.0001,,
82,279.8731273817349,286.469762114831,decay_win,Frequency,0.0001,0.9999,,,,
82,277.71925931375824,290.9125287799504,delta_asymmetric_decay_win,Frequency,1.01306846,0.0001,,,0.285405535,0.9999
83,265.8855587705758,272.4821935036719,delta,Baseline,0.93356771,0.15763004,,,,
83,268.7372245359348,281.9304940021269,delta_PVL,Baseline,1.02886022,0.146232003,0.9999,0.0001,,
83,266.44663242943466,276.3415845290788,delta_asymmetric,Baseline,3.52908247,0.00388747059,,,0.0001,
83,266.80887863402194,273.40551336711803,decay,Baseline,0.06873731,0.0001,,,,
83,269.7294210800159,282.92269054620806,decay_PVL,Baseline,0.0783791124,0.0001,0.9999,0.0001,,
83,263.6785228042857,270.2751575373818,decay_win,Baseline,0.09691246,0.00379049,,,,
83,269.7617498503473,282.95501931653945,delta_asymmetric_decay_win,Baseline,2.57975897,0.00608575641,,,0.0001,0.9999
83,244.90516380402,251.5017985371161,delta,Frequency,4.9999,0.000277546721,,,,
83,248.2151467100719,261.40841617626404,delta_PVL,Frequency,4.9999,0.000144178134,0.745670899,4.9999,,
83,247.47586807707705,257.3708201767212,delta_asymmetric,Frequency,4.3797658,0.000634630544,,,0.0001,
83,246.13093950271133,252.7275742358074,decay,Frequency,0.06275188,0.0001,,,,
83,248.67986352499412,261.8731329911863,decay_PVL,Frequency,0.067626841,0.0001,0.51245716,0.0001,,
83,245.9292229237904,252.52585765688644,decay_win,Frequency,0.06397858,0.0001,,,,
83,249.47832040009413,262.6715898662863,delta_asymmetric_decay_win,Frequency,4.33879651,0.000664760931,,,0.0001,0.9999
84,279.87258244854235,286.46921718163844,delta,Baseline,0.0001,0.0001,,,,
84,283.87257980543063,297.0658492716228,delta_PVL,Baseline,0.0001,0.0001,0.00010001,0.0001,,
84,281.87258244854235,291.76753454818646,delta_asymmetric,Baseline,0.0001,0.0001,,,0.0001,
84,279.87465309287364,286.47128782596974,decay,Baseline,0.0001,0.756587414,,,,
84,283.8737822667805,297.06705173297263,decay_PVL,Baseline,0.0001,0.50990599,0.041757506,4.9999,,
84,279.8748979712097,286.4715327043058,decay_win,Baseline,0.0001,0.890490075,,,,
84,279.9756388691278,293.16890833531994,delta_asymmetric_decay_win,Baseline,0.0751450073,0.00974845154,,,0.994835837,0.0001
84,279.8725791168907,286.4692138499868,delta,Frequency,0.0001,0.0001,,,,
84,277.2411635229091,290.43443298910125,delta_PVL,Frequency,0.13045503,0.9999,0.05529631,4.9999,,
84,276.5651262213324,286.4600783209765,delta_asymmetric,Frequency,0.7378898,0.9999,,,0.0001,
84,272.7509818662626,279.3476165993587,decay,Frequency,0.04742669,0.01627294,,,,
84,272.08896718029723,285.28223664648937,decay_PVL,Frequency,0.05527197,0.02310787,0.0001,0.0001,,
84,272.5495774818768,279.1462122149729,decay_win,Frequency,0.31827938,0.19609963,,,,
84,269.66652929069164,282.8597987568838,delta_asymmetric_decay_win,Frequency,0.192960588,0.0001,,,0.794555152,0.611514616
85,264.9930698823079,271.589704615404,delta,Baseline,0.60485542,0.66620951,,,,
85,263.13772411982825,276.3309935860204,delta_PVL,Baseline,0.755925853,0.661509094,0.9999,0.0001,,
85,264.4005604461488,274.2955125457929,delta_asymmetric,Baseline,0.63802608,0.9999,,,0.51300669,
85,214.58347972318376,221.18011445627985,decay,Baseline,0.81884944,0.29900422,,,,
85,200.8420727961401,214.03534226233225,decay_PVL,Baseline,0.854155626,0.415265269,0.0113305098,0.0001,,
85,186.85495242718915,193.4515871602852,decay_win,Baseline,0.96765283,0.29737926,,,,
85,201.0416060982759,214.23487556446804,delta_asymmetric_decay_win,Baseline,0.862955488,0.290648499,,,0.451742194,0.0001
85,250.1564256386325,256.75306037172857,delta,Frequency,4.9999,0.000405803804,,,,
85,247.57192529748667,260.76519476367883,delta_PVL,Frequency,4.9999,0.000490799779,0.9999,0.0001,,
85,239.69222319342327,249.5871752930674,delta_asymmetric,Frequency,3.75560547,0.00237376161,,,0.0001,
85,200.18161084588692,206.77824557898305,decay,Frequency,1.07098177,0.29462665,,,,
85,164.69140038862926,177.8846698548214,decay_PVL,Frequency,1.0384794,0.334714625,0.0001,0.497070224,,
85,183.620605103406,190.21723983650207,decay_win,Frequency,0.8826017,0.20152205,,,,
85,175.68695698669327,188.8802264528854,delta_asymmetric_decay_win,Frequency,1.03792706,0.17408985,,,0.16842398,0.11425161
86,181.5418445963497,188.13847932944577,delta,Baseline,1.01023082,0.9999,,,,
86,166.71854578544253,179.91181525163466,delta_PVL,Baseline,0.76349156,0.9999,0.9999,4.9999,,
86,70.07077425309748,79.9657263527416,delta_asymmetric,Baseline,2.52306117,0.94607804,,,0.0828119,
86,65.07050895996977,71.66714369306584,decay,Baseline,1.34488435,0.20741344,,,,
86,65.39927061019385,78.592540076386,decay_PVL,Baseline,0.97004036,0.14061729,0.05333027,1.79876443,,
86,75.3601607409582,81.95679547405426,decay_win,Baseline,1.664063,0.19537534,,,,
86,47.74294881908256,60.93621828527471,delta_asymmetric_decay_win,Baseline,2.19152092,0.31551963,,,0.56828701,0.9999
86,267.3481661687097,273.9448009018058,delta,Frequency,0.43469486,0.27738648,,,,
86,172.0674262782451,185.26069574443724,delta_PVL,Frequency,0.373636903,0.9999,0.0001,4.9999,,
86,163.51003679994798,173.4049888995921,delta_asymmetric,Frequency,2.63030198,0.9999,,,0.00460345,
86,110.2149064044214,116.81154113751748,decay,Frequency,2.22371253,0.58063278,,,,
86,93.7605181768468,106.95378764303894,decay_PVL,Frequency,4.9999,0.0001,0.0001,1.95715014,,
86,112.43898409903484,119.03561883213092,decay_win,Frequency,0.73897884,0.07973644,,,,
86,75.84191828062653,89.03518774681868,delta_asymmetric_decay_win,Frequency,2.34038492,0.08512174,,,0.36934243,0.84770895
87,254.761770496027,261.3584052291231,delta,Baseline,1.20981004,0.24461905,,,,
87,256.24933785050337,269.4426073166955,delta_PVL,Baseline,1.28273639,0.248788686,0.9999,0.0001,,
87,256.0124678670032,265.9074199666473,delta_asymmetric,Baseline,1.33931218,0.11694832,,,0.26814501,
87,263.0716076673007,269.6682424003968,decay,Baseline,0.35655102,0.15135409,,,,
87,266.2119160879897,279.40518555418186,decay_PVL,Baseline,0.370007176,0.1555506,0.9999,0.0001,,
87,260.9477517471617,267.5443864802578,decay_win,Baseline,0.2866002,0.10577587,,,,
87,261.0629706080922,274.25624007428434,delta_asymmetric_decay_win,Baseline,1.24547523,0.1401614,,,0.34965229,0.9999
87,193.53968745553783,200.13632218863395,delta,Frequency,1.54782041,0.08700736,,,,
87,195.71822711041548,208.9114965766076,delta_PVL,Frequency,1.56440311,0.0894073219,0.949951212,0.0001,,
87,173.25377250192489,183.148724601569,delta_asymmetric,Frequency,0.99968374,0.9999,,,0.02746589,
87,177.9557123209954,184.55234705409143,decay,Frequency,0.38363337,0.08732024,,,,
87,181.23906946384287,194.432338930035,decay_PVL,Frequency,0.386455152,0.088929414,0.9999,0.0001,,
87,174.95910873440624,181.5557434675023,decay_win,Frequency,0.47532786,0.07354383,,,,
87,158.89103208089256,172.0843015470847,delta_asymmetric_decay_win,Frequency,2.38806168,0.9999,,,0.00814737,0.77267701
88,277.61617884504835,284.21281357814445,delta,Baseline,0.23536525,0.88617169,,,,
88,278.3667009813456,291.5599704475377,delta_PVL,Baseline,0.09732212,0.9999,0.13119442,4.9999,,
88,279.4847615178164,289.3797136174605,delta_asymmetric,Baseline,1.86303408,0.0380219696,,,0.0001,
88,250.17971831406703,256.7763530471631,decay,Baseline,0.62107003,0.27617481,,,,
88,246.5651152973374,259.75838476352953,decay_PVL,Baseline,0.747130254,0.809457091,0.0001,0.0001,,
88,242.04336035133895,248.63999508443504,decay_win,Baseline,0.92630213,0.96640004,,,,
88,250.1452717488021,263.3385412149943,delta_asymmetric_decay_win,Baseline,0.645360059,0.333952216,,,0.999891955,0.0001
88,221.5313540658932,228.12798879898924,delta,Frequency,4.9999,0.000196612144,,,,
88,224.5908001205653,237.78406958675745,delta_PVL,Frequency,3.96116424,0.000891561673,0.837579541,0.0001,,
88,222.75420821105172,232.64916031069583,delta_asymmetric,Frequency,2.85418026,0.00346157923,,,0.0001,
88,214.89139001911903,221.4880247522151,decay,Frequency,0.35506795,0.10119535,,,,
88,218.05849550073927,231.2517649669314,decay_PVL,Frequency,0.33343206,0.10633482,0.57057847,1.41760108,,
88,209.03016890565388,215.62680363874995,decay_win,Frequency,0.22895008,0.04347944,,,,
88,212.4176849194547,225.61095438564683,delta_asymmetric_decay_win,Frequency,0.335790067,0.0923444932,,,0.0322191094,0.0001
89,274.87010312242654,281.46673785552264,delta,Baseline,4.9999,0.000136614399,,,,
89,277.94812378817244,291.1413932543646,delta_PVL,Baseline,4.9999,0.000155479678,0.9999,0.0001,,
89,275.7205388764177,285.61549097606184,delta_asymmetric,Baseline,1.05038536,0.0264537069,,,0.0001,
89,274.82575349035613,281.42238822345223,decay,Baseline,0.03013913,0.0001,,,,
89,277.9435854969322,291.13685496312434,decay_PVL,Baseline,0.033749314,0.0001,0.9999,0.0001,,
89,274.8143921179942,281.4110268510903,decay_win,Baseline,0.04722695,0.01604595,,,,
89,277.72465100181546,290.9179204680076,delta_asymmetric_decay_win,Baseline,1.16794482,0.0201455619,,,0.0001,0.9999
89,212.78063670707692,219.37727144017305,delta,Frequency,1.12859507,0.35520839,,,,
89,212.7777286209825,225.9709980871746,delta_PVL,Frequency,0.79833164,0.35950158,0.9999,4.9999,,
89,165.35134331261628,175.2462954122604,delta_asymmetric,Frequency,2.09833612,0.0001,,,0.9999,
89,204.8506812360659,211.447315969162,decay,Frequency,0.71365087,0.23486662,,,,
89,201.54977597032868,214.7430454365208,decay_PVL,Frequency,0.7607581,0.27065327,0.61604122,4.95402194,,
89,211.4931909553836,218.0898256884797,decay_win,Frequency,0.06487371,0.0001,,,,
89,172.7519691046987,185.94523857089084,delta_asymmetric_decay_win,Frequency,1.98821332,0.0001,,,0.9999,0.826937738
90,279.68688672016856,286.28352145326465,delta,Baseline,0.07119416,0.9999,,,,
90,283.67634251268885,296.869611978881,delta_PVL,Baseline,0.0794984318,0.9999,0.9999,0.0001,,
90,281.68689073102536,291.5818428306695,delta_asymmetric,Baseline,0.07119347,0.9999,,,0.9999,
90,279.8728726428099,286.469507375906,decay,Baseline,0.0001,0.674609554,,,,
90,283.8723432955101,297.06561276170225,decay_PVL,Baseline,0.00340799924,0.632692701,0.9999,4.9999,,
90,279.50965834282715,286.10629307592325,decay_win,Baseline,0.12677672,0.38237347,,,,
90,280.01827505422864,293.2115445204208,delta_asymmetric_decay_win,Baseline,0.792091719,0.9999,,,0.0090035947,0.0001
90,279.7122511782054,286.3088859113015,delta,Frequency,4.22576256,0.0001,,,,
90,282.08744492430526,295.2807143904974,delta_PVL,Frequency,4.9999,0.000106581032,0.225258247,0.0001,,
90,280.9896678959322,290.8846199955763,delta_asymmetric,Frequency,2.10147496,0.00285682187,,,0.0001,
90,279.87305584656013,286.46969057965623,decay,Frequency,0.0001,0.0001,,,,
90,281.6021910537356,294.79546051992776,decay_PVL,Frequency,0.04850811,0.02133946,0.0001,0.0001,,
90,277.1385681624886,283.7352028955847,decay_win,Frequency,0.03475386,0.00789097,,,,
90,279.9184822956155,293.1117517618076,delta_asymmetric_decay_win,Frequency,1.18368899,0.0133446627,,,0.0001,0.878221203
91,254.21329343947656,260.80992817257265,delta,Baseline,0.73014694,0.79550188,,,,
91,222.22623495977297,235.4195044259651,delta_PVL,Baseline,0.60423615,0.67300916,0.24668019,4.9999,,
91,243.77540038397453,253.67035248361864,delta_asymmetric,Baseline,1.18101298,0.9999,,,0.00617916,
91,253.9548172471888,260.55145198028487,decay,Baseline,0.0569154,0.01377128,,,,
91,240.5065767484137,253.69984621460583,decay_PVL,Baseline,0.0623112567,0.0190840431,0.0001,4.9999,,
91,265.36255911615143,271.9591938492475,decay_win,Baseline,0.07742146,0.02855122,,,,
91,209.3421039757412,222.53537344193333,delta_asymmetric_decay_win,Baseline,4.71372795,0.0001,,,0.0568885873,0.673869699
91,181.5449223036321,188.1415570367282,delta,Frequency,2.15128628,0.09206113,,,,
91,177.84947770788622,191.0427471740784,delta_PVL,Frequency,2.56403754,0.0918157607,0.9999,0.0001,,
91,159.89250581320934,169.78745791285343,delta_asymmetric,Frequency,2.34437193,0.1781142,,,0.03962385,
91,220.4632371336343,227.05987186673036,decay,Frequency,0.51697048,0.05419893,,,,
91,204.4549387012372,217.64820816742932,decay_PVL,Frequency,1.18108657,0.743876959,0.0001,0.0001,,
91,244.64854177776792,251.245176510864,decay_win,Frequency,0.10596061,0.02942344,,,,
91,161.58296372815045,174.77623319434258,delta_asymmetric_decay_win,Frequency,2.35907953,0.17629513,,,0.03933774,0.9999
92,279.0410295347172,285.6376642678133,delta,Baseline,0.16449249,0.68337083,,,,
92,278.7265189014849,291.9197883676771,delta_PVL,Baseline,0.398072779,0.9999,0.0001,0.0001,,
92,280.97228619525674,290.86723829490086,delta_asymmetric,Baseline,0.15702531,0.9999,,,0.76569077,
92,279.62644111972577,286.22307585282186,decay,Baseline,0.01718883,0.03594653,,,,
92,278.50390127266155,291.6971707388537,decay_PVL,Baseline,0.115183742,0.740009018,0.0001,4.9999,,
92,279.2968270571745,285.8934617902706,decay_win,Baseline,0.01454598,0.0001,,,,
92,282.49981383113925,295.6930832973314,delta_asymmetric_decay_win,Baseline,0.27160174,0.00856779,,,0.9999,0.9999
92,273.9699688696916,280.5666036027877,delta,Frequency,2.44495258,0.00253905,,,,
92,276.2428835430942,289.4361530092864,delta_PVL,Frequency,0.59626229,0.00798122556,0.0001,4.9999,,
92,277.6884221336293,287.5833742332734,delta_asymmetric,Frequency,2.63850395,0.00299655901,,,0.0001,
92,277.1874623980434,283.7840971311395,decay,Frequency,0.03580901,0.0001,,,,
92,276.3625698238145,289.55583929000665,decay_PVL,Frequency,0.03237959,0.0001,0.0001,0.0001,,
92,272.0717437292089,278.668378462305,decay_win,Frequency,0.03579606,0.00066502,,,,
92,274.16223184059106,287.3555013067832,delta_asymmetric_decay_win,Frequency,3.84720194,0.000168324156,,,0.0001,0.710619959
93,217.9504209453434,224.54705567843948,delta,Baseline,1.28169257,0.23054864,,,,
93,212.05008810624537,225.2433575724375,delta_PVL,Baseline,1.07611549,0.15166603,0.5025545,4.9999,,
93,211.31092300753448,221.2058751071786,delta_asymmetric,Baseline,1.38695063,0.08788941,,,0.51692184,
93,222.18556392537727,228.7821986584734,decay,Baseline,0.29765028,0.05772432,,,,
93,219.2493759988248,232.4426454650169,decay_PVL,Baseline,0.19000755,0.03974055,0.45295768,4.9999,,
93,221.50679028564977,228.10342501874584,decay_win,Baseline,0.4879537,0.0884914,,,,
93,203.4307701949614,216.62403966115355,delta_asymmetric_decay_win,Baseline,0.9862336,0.00190628,,,0.9999,0.54860432
93,270.16916069338964,276.76579542648574,delta,Frequency,0.67179517,0.31769834,,,,
93,261.6349991685024,274.8282686346946,delta_PVL,Frequency,0.406957033,0.223251365,0.0001,4.99235248,,
93,265.08821492265224,274.9831670222964,delta_asymmetric,Frequency,0.71385529,0.10195635,,,0.88780488,
93,266.6796950095325,273.2763297426286,decay,Frequency,0.12064683,0.05580965,,,,
93,259.19301417519307,272.38628364138526,decay_PVL,Frequency,0.0954442178,0.0509013131,0.0001,4.9999,,
93,266.2402648991436,272.8368996322397,decay_win,Frequency,0.43178756,0.34655665,,,,
93,258.23866743733737,271.4319369035295,delta_asymmetric_decay_win,Frequency,0.8444119,0.02377297,,,0.9999,0.73752206
94,269.7895221195648,276.3861568526609,delta,Baseline,0.55495174,0.65210006,,,,
94,273.60023114811975,286.7935006143119,delta_PVL,Baseline,0.60985442,0.67765696,0.9999,0.33136225,,
94,268.4746906205773,278.3696427202214,delta_asymmetric,Baseline,0.62446401,0.2998197,,,0.9999,
94,259.46636940136364,266.06300413445973,decay,Baseline,0.4808338,0.27065976,,,,
94,255.381529510346,268.57479897653815,decay_PVL,Baseline,0.544268867,0.411482986,0.0001,0.0001,,
94,257.3768115759906,263.9734463090867,decay_win,Baseline,0.96303087,0.81098556,,,,
94,255.73114497808768,268.9244144442798,delta_asymmetric_decay_win,Baseline,0.538150399,0.328756662,,,0.9999,0.0001
94,278.6173548312258,285.2139895643219,delta,Frequency,0.2817113,0.49356603,,,,
94,280.76018792203206,293.9534573882242,delta_PVL,Frequency,0.195622956,0.224776338,0.0001,4.8760209,,
94,273.5431242682236,283.4380763678677,delta_asymmetric,Frequency,1.47239627,0.9999,,,0.0001,
94,270.18932907365235,276.78596380674844,decay,Frequency,0.51456403,0.9999,,,,
94,270.3728515760467,283.5661210422388,decay_PVL,Frequency,0.530730255,0.9999,0.0001,0.0001,,
94,274.0261466892661,280.6227814223622,decay_win,Frequency,0.23807052,0.17672904,,,,
94,267.94729261424163,281.14056208043377,delta_asymmetric_decay_win,Frequency,0.981577595,0.869462347,,,0.0001,0.448808489
95,270.76901115460345,277.36564588769954,delta,Baseline,4.9999,0.000281562597,,,,
95,273.2018167552572,286.39508622144933,delta_PVL,Baseline,4.9999,0.000309970805,0.9999,0.0001,,
95,268.7707408895698,278.66569298921394,delta_asymmetric,Baseline,1.1544447,0.0993741089,,,0.0001,
95,260.96707138576505,267.56370611886115,decay,Baseline,0.56137272,0.23943806,,,,
95,250.060583392878,263.2538528590701,decay_PVL,Baseline,0.605447334,0.29549247,0.0001,0.0001,,
95,259.26023870780364,265.85687344089973,decay_win,Baseline,0.52525334,0.24589399,,,,
95,255.5082583474472,268.70152781363936,delta_asymmetric_decay_win,Baseline,0.5501278,0.273072344,,,0.9999,0.0001
95,262.08358253163266,268.68021726472875,delta,Frequency,4.9999,0.00177271958,,,,
95,203.1388952117031,216.33216467789524,delta_PVL,Frequency,4.9999,0.00160264366,0.9999,0.0001,,
95,190.48731437172185,200.38226647136597,delta_asymmetric,Frequency,3.03500565,0.00959890254,,,0.0001,
95,152.46407967747194,159.060714410568,decay,Frequency,0.7370303,0.07262495,,,,
95,138.069356343134,151.26262580932612,decay_PVL,Frequency,1.20268905,0.377379685,0.0001,0.0001,,
95,144.60705795634448,151.20369268944054,decay_win,Frequency,0.97098178,0.22886759,,,,
95,138.5023122233244,151.69558168951653,delta_asymmetric_decay_win,Frequency,1.22636708,0.27868251,,,0.71644636,0.02917918
96,270.2674728517535,276.8641075848496,delta,Baseline,0.66559416,0.07757346,,,,
96,262.9927914405522,276.1860609067444,delta_PVL,Baseline,0.28185362,0.0750576713,0.0001,4.99965611,,
96,253.69619574788587,263.59114784752995,delta_asymmetric,Baseline,0.809622543,0.9999,,,0.0001,
96,272.8589341349622,279.4555688680583,decay,Baseline,0.14195167,0.10372395,,,,
96,260.1978014014212,273.39107086761334,decay_PVL,Baseline,0.22228928,0.105317071,0.0001,0.0001,,
96,273.2659143376925,279.86254907078865,decay_win,Baseline,0.02440418,0.00587378,,,,
96,255.52792176893476,268.72119123512687,delta_asymmetric_decay_win,Baseline,0.902471934,0.9999,,,0.0001,0.848060616
96,279.87258365914806,286.46921839224416,delta,Frequency,0.0001,0.0001,,,,
96,283.8725820371502,297.06585150334234,delta_PVL,Frequency,0.0001,0.0001,0.9999,0.0001,,
96,261.8250479768118,271.7200000764559,delta_asymmetric,Frequency,0.752247828,0.9999,,,0.0001,
96,264.5044462173776,271.10108095047366,decay,Frequency,0.05939597,0.0001,,,,
96,259.66569890224,272.8589683684321,decay_PVL,Frequency,0.06982911,0.01955039,0.0001,0.0001,,
96,266.3154044097444,272.9120391428405,decay_win,Frequency,0.131276378,0.0001,,,,
96,240.98102690089928,254.17429636709144,delta_asymmetric_decay_win,Frequency,4.97331186,0.000398194393,,,0.0001,0.378502426
97,274.44181598147503,281.0384507145711,delta,Baseline,0.43731249,0.80140666,,,,
97,275.2540457591907,288.44731522538285,delta_PVL,Baseline,0.844555494,0.0278626743,0.0001,4.9999,,
97,275.48927523775933,285.38422733740344,delta_asymmetric,Baseline,0.48486607,0.53144357,,,0.9999,
97,276.65525746901966,283.25189220211576,decay,Baseline,0.2423998,0.3037951,,,,
97,269.79500814454434,282.9882776107365,decay_PVL,Baseline,0.0852315304,0.034141494,0.0001,4.9999,,
97,277.0250491266412,283.6216838597373,decay_win,Baseline,0.07901394,0.04385201,,,,
97,269.0715175058813,282.2647869720734,delta_asymmetric_decay_win,Baseline,1.1253991,0.0001,,,0.0001,0.722734301
97,272.8675524159303,279.4641871490264,delta,Frequency,4.9999,0.000117363048,,,,
97,269.0894455867015,282.28271505289365,delta_PVL,Frequency,3.75677228,0.0001,0.0001,4.9999,,
97,274.4473819017959,284.34233400144,delta_asymmetric,Frequency,3.08068049,0.00111406287,,,0.0001,
97,269.5128120975826,276.1094468306787,decay,Frequency,0.1289142,0.04419404,,,,
97,269.07375536885934,282.2670248350515,decay_PVL,Frequency,0.03941344,0.00371921,0.0001,0.0001,,
97,264.4128153698673,271.0094501029634,decay_win,Frequency,0.05366784,0.00675661,,,,
97,266.89413558947376,280.0874050556659,delta_asymmetric_decay_win,Frequency,0.36102399,0.01301176,,,0.9999,0.65517114
98,229.64259356435997,236.239228297456,delta,Baseline,1.31173661,0.35582954,,,,
98,222.83005444432283,236.02332391051496,delta_PVL,Baseline,1.55622652,0.493412565,0.121368722,0.0001,,
98,213.25305168505585,223.14800378469997,delta_asymmetric,Baseline,1.5508112,0.903219148,,,0.0001,
98,200.3536883490819,206.950323082178,decay,Baseline,0.77866538,0.16829885,,,,
98,203.87585048821185,217.069119954404,decay_PVL,Baseline,0.77396373,0.18914147,0.38777195,0.48092941,,
98,202.78810976399436,209.3847444970904,decay_win,Baseline,0.67343514,0.11006655,,,,
98,184.3799191400598,197.57318860625196,delta_asymmetric_decay_win,Baseline,1.02794105,0.01776595,,,0.62612269,0.38753255
98,250.0606515810136,256.6572863141096,delta,Frequency,1.0055042,0.62919668,,,,
98,209.22776949545357,222.42103896164568,delta_PVL,Frequency,0.86905534,0.41459265,0.34227411,4.9999,,
98,137.92663061100242,147.82158271064654,delta_asymmetric,Frequency,2.45542676,0.24700869,,,0.0001,
98,118.56932724739518,125.16596198049125,decay,Frequency,0.68924568,0.10221064,,,,
98,119.2691958759388,132.46246534213094,decay_PVL,Frequency,0.166951248,0.0001,0.9999,4.9999,,
98,105.4130110898988,112.00964582299488,decay_win,Frequency,0.66702526,0.00269954,,,,
98,95.32247768537306,108.5157471515652,delta_asymmetric_decay_win,Frequency,2.30604023,0.0331506,,,0.35254004,0.3397593
99,272.8695532148824,279.4661879479785,delta,Baseline,0.49128401,0.46997351,,,,
99,270.95866822827946,284.1519376944716,delta_PVL,Baseline,0.262091153,0.151077923,0.0001,4.9999,,
99,269.72000100137114,279.61495310101526,delta_asymmetric,Baseline,0.749641277,0.76014842,,,0.0001,
99,279.3050725870749,285.901707320171,decay,Baseline,0.01206016,0.0001,,,,
99,266.6483285967324,279.84159806292456,decay_PVL,Baseline,0.0548679537,0.0001,0.0001,1.5247686,,
99,275.29662064813,281.893255381226,decay_win,Baseline,0.05908228,0.0001,,,,
99,252.6100786861181,265.80334815231026,delta_asymmetric_decay_win,Baseline,2.98828472,0.000139711082,,,0.0123624554,0.683506452
99,266.5392669102601,273.13590164335625,delta,Frequency,0.59308227,0.9999,,,,
99,253.98061318940324,267.1738826555954,delta_PVL,Frequency,0.842160285,0.9999,0.0001,0.0001,,
99,234.4554304010888,244.3503825007329,delta_asymmetric,Frequency,1.27007065,0.368155417,,,0.0001,
99,262.1667242853179,268.763359018414,decay,Frequency,0.09568067,0.01544326,,,,
99,228.662224347424,241.8554938136161,decay_PVL,Frequency,0.099369,0.01269582,0.0001,0.0001,,
99,263.4800706374683,270.0767053705644,decay_win,Frequency,0.12827543,0.01626624,,,,
