Subnum,AIC,BIC,model,Condition,t,alpha,scale,la,alpha_neg,weight
2,242.14175704908573,255.3350265152779,decay_PVL,Frequency,0.06629369,0.0001,0.08656579,0.0001,,
2,241.3893241964604,247.98595892955643,decay_win,Frequency,0.19694756,0.01228658,,,,
2,238.5489683134692,251.7422377796613,delta_asymmetric_decay_win,Frequency,0.071217035,0.0001,,,0.937502735,0.0001
3,143.43725553427353,150.0338902673696,delta,Baseline,3.21923479,0.03251336,,,,
3,143.99075185487357,157.1840213210657,delta_PVL,Baseline,3.5995246,0.027432883,0.536550519,0.0001,,
3,145.40534869855728,155.3003007982014,delta_asymmetric,Baseline,3.22660807,0.03449386,,,0.02986131,
3,229.12670533748363,235.7233400705797,decay,Baseline,0.39442501,0.12217315,,,,
3,229.10361751467173,242.29688698086383,decay_PVL,Baseline,0.45497564,0.14228115,0.9999,4.9999,,
3,208.46165343294217,215.05828816603824,decay_win,Baseline,0.4819918,0.08911443,,,,
3,198.66805566702712,211.86132513321925,delta_asymmetric_decay_win,Baseline,1.25085638,0.76332168,,,0.9999,0.9999
3,279.872588618607,286.4692233517031,delta,Frequency,0.0001,0.0001,,,,
3,283.8725833522435,297.06585281843564,delta_PVL,Frequency,0.0001,0.0001,0.9999,0.0001,,
3,250.55635479967708,260.4513068993212,delta_asymmetric,Frequency,0.749436656,0.63063952,,,0.0001,
3,205.71128330354733,212.3079180366434,decay,Frequency,0.60400598,0.09891835,,,,
3,158.4323030361506,171.62557250234272,decay_PVL,Frequency,4.9999,0.993067042,0.9999,0.0001,,
3,188.16194810165103,194.75858283474716,decay_win,Frequency,0.43285183,0.06256865,,,,
3,77.9446066481339,91.13787611432603,delta_asymmetric_decay_win,Frequency,4.9999,0.434181073,,,0.028458372,0.0001
4,278.3357740611536,284.9324087942496,delta,Baseline,4.71474632,0.0001,,,,
4,280.8191457084279,294.01241517462006,delta_PVL,Baseline,4.9999,0.000172242378,0.0990670084,0.0001,,
4,279.5655664342473,289.4605185338914,delta_asymmetric,Baseline,3.23225129,0.0001,,,0.00284390434,
4,278.35011421051223,284.9467489436083,decay,Baseline,0.0160587,0.0001,,,,
4,279.87082899018463,293.0640984563768,decay_PVL,Baseline,0.0369045034,0.0001,0.0001,0.616664648,,
4,278.69565772805674,285.29229246115284,decay_win,Baseline,0.21204514,0.9999,,,,
4,277.19200707522464,290.3852765414168,delta_asymmetric_decay_win,Baseline,0.682642072,0.0001,,,0.0370322684,0.803821302
4,264.6327954409199,271.229430174016,delta,Frequency,0.58126606,0.9999,,,,
4,247.96227753787517,261.1555470040673,delta_PVL,Frequency,0.29152392,0.95879545,0.19048804,4.9999,,
4,264.242375688335,274.13732778797913,delta_asymmetric,Frequency,0.612073971,0.811061197,,,0.0001,
4,244.1617275653053,250.75836229840135,decay,Frequency,0.05655185,0.0001,,,,
4,223.58083927776465,236.7741087439568,decay_PVL,Frequency,0.07878742,0.0001,0.0001,0.0001,,
4,267.32751541588215,273.92415014897824,decay_win,Frequency,0.06798522,0.00998941,,,,
4,221.61885743927476,234.81212690546687,delta_asymmetric_decay_win,Frequency,0.0839623937,0.0001,,,0.570537169,0.0001
5,263.5766345587321,270.1732692918282,delta,Baseline,4.9999,0.000501462002,,,,
5,267.1814533520771,280.3747228182692,delta_PVL,Baseline,4.9999,0.000540304394,0.9999,0.0001,,
5,257.1664385930069,267.06139069265095,delta_asymmetric,Baseline,1.07790087,0.708657719,,,0.0001,
5,242.2052918470096,248.80192658010563,decay,Baseline,0.98007428,0.78061603,,,,
5,242.28049824358493,255.47376770977704,decay_PVL,Baseline,0.863769524,0.714079859,0.405224828,0.0001,,
5,229.7000887522004,236.29672348529647,decay_win,Baseline,1.01551868,0.77644096,,,,
5,237.1250718713268,250.3183413375189,delta_asymmetric_decay_win,Baseline,0.874876536,0.747594693,,,0.973309174,0.0001
5,217.6285774849005,224.22521221799656,delta,Frequency,4.9999,0.000769262649,,,,
5,219.7804046435648,232.97367410975696,delta_PVL,Frequency,4.9999,0.000812765461,0.9999,0.0001,,
5,216.0900481560834,225.98500025572756,delta_asymmetric,Frequency,4.62326388,0.00120353333,,,0.0001,
5,212.93520518431905,219.53183991741508,decay,Frequency,0.113728842,0.0001,,,,
5,216.43859749081423,229.6318669570064,decay_PVL,Frequency,0.116624459,0.0001,0.954711239,0.0001,,
5,218.4874182648612,225.0840529979573,decay_win,Frequency,0.19061245,0.01461989,,,,
5,206.2621801845174,219.45544965070957,delta_asymmetric_decay_win,Frequency,0.99103542,0.156217519,,,0.0001,0.261293568
6,273.83795602905144,280.43459076214754,delta,Baseline,0.43018207,0.9999,,,,
6,275.4339058234706,288.6271752896627,delta_PVL,Baseline,4.9999,0.000672562778,0.100058381,0.0001,,
6,273.25113857871776,283.1460906783619,delta_asymmetric,Baseline,2.97161728,0.0001,,,0.0105612607,
6,277.75310178786714,284.34973652096323,decay,Baseline,0.03164914,0.01323801,,,,
6,278.6710938206183,291.86436328681043,decay_PVL,Baseline,0.0178877881,0.0001,0.0935873414,4.9999,,
6,275.8547499136574,282.45138464675347,decay_win,Baseline,0.04244761,0.00722697,,,,
6,277.664413590952,290.85768305714413,delta_asymmetric_decay_win,Baseline,2.75231603,0.0001,,,0.0186170927,0.9999
6,272.1570248376396,278.7536595707357,delta,Frequency,0.72586357,0.15103918,,,,
6,275.2311733867273,288.4244428529194,delta_PVL,Frequency,0.62303457,0.15606482,0.42802438,2.05544075,,
6,274.1062612227044,284.0012133223485,delta_asymmetric,Frequency,0.66417111,0.33596442,,,0.04803323,
6,275.0530380198258,281.6496727529219,decay,Frequency,0.0713391,0.03086856,,,,
6,275.4627425439099,288.656012010102,decay_PVL,Frequency,0.0611929277,0.0538895299,0.0001,4.45739971,,
6,275.0229087626026,281.6195434956987,decay_win,Frequency,0.05837769,0.00330215,,,,
6,276.10472940944226,289.2979988756344,delta_asymmetric_decay_win,Frequency,0.66315199,0.3364842,,,0.04805566,0.9999
7,235.41342882926895,242.01006356236505,delta,Baseline,4.9999,0.00082264782,,,,
7,236.652764675378,249.84603414157013,delta_PVL,Baseline,4.9999,0.00086344201,0.9999,0.0001,,
7,207.5161628052347,217.4111149048788,delta_asymmetric,Baseline,3.00476415,0.0104604221,,,0.0001,
7,200.0128021737708,206.60943690686685,decay,Baseline,0.25168359,0.04779208,,,,
7,203.28281600980964,216.47608547600177,decay_PVL,Baseline,0.263273112,0.051208215,0.825127256,0.0001,,
7,193.73947050722447,200.3361052403205,decay_win,Baseline,0.25499736,0.03026694,,,,
7,199.48711584548911,212.68038531168125,delta_asymmetric_decay_win,Baseline,0.34732124,0.04568896,,,0.81545401,0.15805095
7,279.8725892189842,286.4692239520803,delta,Frequency,0.0001,0.0001,,,,
7,283.87258387894394,297.0658533451361,delta_PVL,Frequency,0.0001,0.0001,0.0001,0.0001,,
7,204.47837912933403,214.37333122897812,delta_asymmetric,Frequency,1.49592612,0.9999,,,0.03262389,
7,163.16534064545664,169.7619753785527,decay,Frequency,0.34661915,0.04989323,,,,
7,166.45998261429196,179.6532520804841,decay_PVL,Frequency,0.351805273,0.0527006746,0.9999,0.0001,,
7,175.76892252250198,182.36555725559805,decay_win,Frequency,0.42126747,0.05077299,,,,
7,139.45105036404698,152.6443198302391,delta_asymmetric_decay_win,Frequency,4.9999,0.0098933,,,0.25430472,0.12598009
9,266.67818687321403,273.2748216063101,delta,Baseline,0.42932632,0.9999,,,,
9,257.4421940214031,270.6354634875953,delta_PVL,Baseline,1.21042635,0.0224978324,0.0001,4.9999,,
9,266.30112995414095,276.19608205378506,delta_asymmetric,Baseline,2.79095042,0.00432206512,,,0.0001,
9,234.79235331350043,241.3889880465965,decay,Baseline,0.82016645,0.27838948,,,,
9,233.7979939402173,246.99126340640947,decay_PVL,Baseline,0.80411746,0.28237273,0.5213043,0.71158881,,
9,227.47474284022567,234.0713775733217,decay_win,Baseline,0.65054833,0.17128497,,,,
