Subnum,Condition,EstA,EstB,EstC,EstD,A_Confidence,B_Confidence,C_Confidence,D_Confidence,Phase
3,Frequency,0.0,18.0,16.0,0.0,10.0,5.0,6.0,10.0,4
3,Frequency,0.0,24.0,20.0,0.0,10.0,6.0,6.0,10.0,5
3,Frequency,0.0,25.0,25.0,0.0,10.0,5.0,5.0,10.0,6
3,Frequency,0.0,41.0,41.0,0.0,10.0,5.0,6.0,10.0,7
4,Baseline,3.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,1
4,Baseline,1.0,5.5,6.0,4.0,4.0,3.0,3.0,2.0,2
4,Baseline,3.0,4.2,4.0,2.0,2.0,2.0,3.0,2.0,3
4,Baseline,4.75,0.0,3.5,3.0,6.0,6.0,4.0,2.0,4
4,Baseline,4.0,-0.5,4.0,3.0,3.0,5.0,4.0,2.0,5
4,Baseline,3.0,4.0,2.0,0.0,6.0,5.0,5.0,5.0,6
4,Baseline,7.0,5.0,6.0,3.0,3.0,2.0,2.0,2.0,7
4,Frequency,7.0,5.0,5.0,0.2,2.0,2.0,2.0,4.0,1
4,Frequency,5.0,7.0,3.0,2.0,4.0,4.0,2.0,2.0,2
4,Frequency,5.0,4.0,4.0,0.0,2.0,2.0,3.0,5.0,3
4,Frequency,6.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4
4,Frequency,9.0,6.0,3.0,1.0,4.0,3.0,2.0,2.0,5
4,Frequency,7.0,5.0,5.0,1.0,2.0,2.0,3.0,3.0,6
4,Frequency,9.0,8.0,5.0,3.0,2.0,2.0,2.0,2.0,7
5,Baseline,0.55,0.3,1.23,0.34,3.0,5.0,4.0,2.0,1
5,Baseline,0.6,0.24,0.85,0.6,4.0,7.0,6.0,4.0,2
5,Baseline,0.32,0.4,0.8,0.23,2.0,6.0,6.0,4.0,3
5,Baseline,0.4,0.3,0.7,0.3,4.0,6.0,5.0,2.0,4
5,Baseline,0.4,0.5,0.7,0.34,4.0,1.0,4.0,2.0,5
5,Baseline,0.6,0.2,0.7,0.3,4.0,4.0,6.0,2.0,6
5,Baseline,0.25,0.55,0.7,0.6,4.0,4.0,6.0,2.0,7
5,Frequency,0.8,0.6,0.3,0.23,3.0,4.0,,5.0,1
5,Frequency,0.4,0.5,0.8,0.25,6.0,4.0,5.0,4.0,2
5,Frequency,0.2,0.3,0.8,0.9,3.0,3.0,4.0,3.0,3
5,Frequency,0.4,0.5,0.7,0.5,5.0,,5.0,3.0,4
5,Frequency,0.84,0.4,0.7,0.15,6.0,5.0,3.0,4.0,5
5,Frequency,0.85,0.65,0.45,0.3,6.0,5.0,4.0,3.0,6
5,Frequency,0.85,0.4,0.6,0.3,6.0,3.0,4.0,3.0,7
6,Baseline,0.86,0.37,1.13,0.74,1.0,1.0,1.0,1.0,1
6,Baseline,1.52,1.37,1.75,1.79,1.0,1.0,1.0,1.0,2
6,Baseline,3.24,1.69,2.2,1.21,4.0,2.0,3.0,2.0,3
6,Baseline,3.91,1.54,1.98,2.14,4.0,3.0,4.0,2.0,4
6,Baseline,5.47,1.6,2.38,0.57,4.0,6.0,5.0,2.0,5
6,Baseline,7.0,6.94,8.0,5.74,1.0,1.0,1.0,1.0,6
6,Baseline,5.24,3.75,4.36,6.32,1.0,1.0,1.0,1.0,7
6,Frequency,1.95,2.12,1.64,2.63,1.0,1.0,1.0,1.0,1
6,Frequency,2.43,2.86,4.21,2.22,1.0,1.0,1.0,1.0,2
6,Frequency,3.21,3.98,5.32,4.65,1.0,1.0,1.0,1.0,3
6,Frequency,7.42,3.52,6.0,5.0,1.0,1.0,1.0,1.0,4
6,Frequency,3.64,2.84,2.53,1.31,1.0,1.0,2.0,1.0,5
6,Frequency,3.62,1.05,2.5,1.62,1.0,1.0,1.0,1.0,6
6,Frequency,4.24,1.84,2.94,2.31,1.0,1.0,1.0,1.0,7
7,Baseline,0.86,0.47,1.47,0.56,1.0,1.0,1.0,1.0,1
7,Baseline,3.2,2.34,1.57,2.57,1.0,1.0,1.0,1.0,2
7,Baseline,3.2,2.55,4.78,3.4,1.0,1.0,1.0,1.0,3
7,Baseline,4.29,0.0,5.38,0.0,2.0,9.0,2.0,9.0,4
7,Baseline,5.32,0.0,0.0,3.28,1.0,2.0,2.0,1.0,5
7,Baseline,4.21,0.0,4.52,0.0,2.0,9.0,2.0,9.0,6
7,Baseline,4.2,3.2,23.0,7.0,1.0,1.0,1.0,1.0,7
7,Frequency,5.32,3.24,2.34,3.2,1.0,1.0,1.0,1.0,1
7,Frequency,0.0,6.42,7.32,0.0,9.0,1.0,1.0,9.0,2
