"SubjID","ChoiceSet","Condition","PropOptimal","RT"
16,"AD","LossesEF",0.12,1402.96
16,"BD","LossesEF",0.4,1104.92
17,"AB","GainsEF",0.92,1021.82666666667
17,"CD","GainsEF",0.933333333333333,1025.26666666667
17,"CA","GainsEF",0.72,1291.48
17,"CB","GainsEF",1,1042.68
17,"AD","GainsEF",0.88,1044.4
17,"BD","GainsEF",0,1397.6
18,"AB","Gains",0.4,1134.57
18,"CD","Gains",0.36,1159.68
18,"CA","Gains",0,1459.32
18,"CB","Gains",0.04,1873.2
18,"AD","Gains",0.96,1464.6
18,"BD","Gains",0.84,1589.32
19,"AB","Losses",0.37,1499.67
19,"CD","Losses",0.74,1338.92
19,"CA","Losses",0.52,987.08
19,"CB","Losses",0.4,1262.44
19,"AD","Losses",0.48,1204.88
19,"BD","Losses",0.6,1238.32
20,"AB","Gains",0.73,1404.87
20,"CD","Gains",0.9,1401.28
20,"CA","Gains",0,1371.8
20,"CB","Gains",0.88,1563.2
20,"AD","Gains",1,1107.04
20,"BD","Gains",1,1564.48
21,"AB","Losses",0.64,2024.15
21,"CD","Losses",0.58,2342.76
21,"CA","Losses",0,1411.28
21,"CB","Losses",1,1305.16
21,"AD","Losses",1,1178.4
21,"BD","Losses",0,1291.92
22,"AB","Losses",0.47,1116.41
22,"CD","Losses",0.48,1255.1
22,"CA","Losses",0.04,1667.76
22,"CB","Losses",0,1468.44
22,"AD","Losses",0.2,1760.72
22,"BD","Losses",0.12,1463.92
23,"AB","LossesEF",0.43,1211.72
23,"CD","LossesEF",0.88,1292.72
23,"CA","LossesEF",0.12,2593.64
23,"CB","LossesEF",1,4639
23,"AD","LossesEF",0.88,3856.16
23,"BD","LossesEF",0.2,1642.72
24,"AB","Losses",0.47,1137.92
24,"CD","Losses",0.64,1500.58
24,"CA","Losses",0.48,5005.08
24,"CB","Losses",0.36,1748.12
24,"AD","Losses",0.76,2679.48
24,"BD","Losses",0.48,1382.48
25,"AB","GainsEF",0.746666666666667,1514.50666666667
25,"CD","GainsEF",0.786666666666667,1244.44
25,"CA","GainsEF",0.2,2959.2
25,"CB","GainsEF",1,1856.64
25,"AD","GainsEF",1,1747.8
25,"BD","GainsEF",0.4,3360.8
26,"AB","Losses",0.49,946.07
26,"CD","Losses",0.48,929.44
26,"CA","Losses",0.4,1058.52
26,"CB","Losses",0.56,1233.8
26,"AD","Losses",0.24,860.2
26,"BD","Losses",0.44,1719.76
27,"AB","Gains",0.97,1205.41
27,"CD","Gains",0.94,1346.8
27,"CA","Gains",0.08,1464.92
27,"CB","Gains",1,850.4
