Subnum,AIC,BIC,model,Condition,t,alpha,weight,scale,la,alpha_neg
58,246.36909149972536,262.8606783324656,delta_decay_PVL_win,Frequency,0.832518933,0.9999,0.0102355106,0.000222713311,1.71806919,
58,246.30442570907957,259.4976951752717,delta_asymmetric_decay_win,Frequency,0.0631552605,0.0001,0.00717550882,,,0.497307774
59,150.3778210876991,160.2727731873432,delta_decay,Baseline,1.89210462,0.1110054,0.9999,,,
59,151.29288025364986,167.78446708639004,delta_decay_PVL,Baseline,2.40195065,0.161145513,0.9999,0.274283369,0.0001,
59,127.92576205366387,137.820714153308,delta_decay_win,Baseline,0.688207859,0.0001,0.164059711,,,
59,131.9031551639717,148.3947419967119,delta_decay_PVL_win,Baseline,0.775288487,0.00525760949,0.178371281,0.0001,0.0001,
59,129.9257620536635,143.11903151985564,delta_asymmetric_decay_win,Baseline,0.688207873,0.0001,0.164059731,,,0.0001
59,135.4969466075608,145.39189870720492,delta_decay,Frequency,2.4435811,0.824611926,0.0001,,,
59,128.03441581793356,144.52600265067372,delta_decay_PVL,Frequency,2.26271759,0.84531408,0.06011371,0.9999,2.57590947,
59,125.99253853481156,135.88749063445567,delta_decay_win,Frequency,4.9999,0.986117872,0.0001,,,
59,119.22956936486382,135.721156197604,delta_decay_PVL_win,Frequency,4.9999,0.98591391,0.0001,0.515360704,2.45431717,
59,127.75387756726178,140.94714703345392,delta_asymmetric_decay_win,Frequency,3.60734169,0.938432245,0.0001,,,0.99987048
60,199.69982714052892,209.59477924017307,delta_decay,Baseline,1.97512083,0.0236656,0.99800729,,,
60,202.62494103144155,219.11652786418173,delta_decay_PVL,Baseline,1.62828973,0.0374846129,0.984271328,0.9999,0.0001,
60,198.32687922674756,208.22183132639165,delta_decay_win,Baseline,3.90176305,0.00150164565,0.869008544,,,
60,201.65062136225012,218.14220819499036,delta_decay_PVL_win,Baseline,3.89924911,0.00146725769,0.828641961,0.9999,4.9999,
60,199.7432547763885,212.93652424258067,delta_asymmetric_decay_win,Baseline,3.8990143,0.00146427938,0.82624835,,,0.00777874948
60,228.4172723522625,238.31222445190664,delta_decay,Frequency,2.16643536,0.01706496,0.9999,,,
60,230.9320604936218,247.423647326362,delta_decay_PVL,Frequency,0.95918204,0.72161375,0.31267994,0.9999,4.9999,
60,229.7235553795829,239.61850747922705,delta_decay_win,Frequency,1.64402882,0.01922763,0.87936248,,,
60,233.2864064227253,249.7779932554655,delta_decay_PVL_win,Frequency,1.57172611,0.01877894,0.93223073,0.9999,4.9999,
60,229.0954830091427,242.28875247533483,delta_asymmetric_decay_win,Frequency,1.27191568,0.97182156,0.50136196,,,0.39370864
61,275.7252142963823,285.62016639602643,delta_decay,Baseline,0.64367096,0.10471016,0.9999,,,
61,275.53323028092,292.0248171136602,delta_decay_PVL,Baseline,0.42049765,0.12080561,0.9999,0.46085764,4.9999,
61,268.2871779647206,278.18213006436474,delta_decay_win,Baseline,3.35029321,0.0001,0.703421824,,,
61,271.75824412627213,288.24983095901234,delta_decay_PVL_win,Baseline,3.41029939,0.0001,0.707378333,0.721727827,4.24982967,
61,269.5052706479036,282.6985401140957,delta_asymmetric_decay_win,Baseline,3.41029947,0.0001,0.744288029,,,0.00277202429
61,259.085285005461,268.9802371051051,delta_decay,Frequency,4.9999,0.000108262079,0.999754256,,,
61,249.26312032764332,265.75470716038353,delta_decay_PVL,Frequency,0.676190056,0.0001,0.931963562,0.0001,2.22262433,
61,239.2115753186901,249.10652741833425,delta_decay_win,Frequency,4.9999,0.000236045163,0.297413688,,,
61,226.9655910371077,243.4571778698479,delta_decay_PVL_win,Frequency,4.9999,0.000478743266,0.451059228,0.0001,2.77246667,
61,223.56293083834356,236.75620030453567,delta_asymmetric_decay_win,Frequency,4.59334488,0.000292055936,0.323831729,,,0.562999997
62,247.4611563112951,257.3561084109392,delta_decay,Baseline,0.68922792,0.9999,0.9999,,,
62,249.26475986220632,265.7563466949465,delta_decay_PVL,Baseline,0.60123434,0.9999,0.9999,0.70632435,1.70213493,
62,247.6883288662851,257.5832809659292,delta_decay_win,Baseline,0.68572252,0.9999,0.9999,,,
62,249.3412849784929,265.8328718112331,delta_decay_PVL_win,Baseline,0.59400817,0.9999,0.9999,0.689167,1.72991736,
62,248.9396481943427,262.1329176605349,delta_asymmetric_decay_win,Baseline,0.72936764,0.77421181,0.9999,,,0.9999
62,226.61555778153652,236.51050988118067,delta_decay,Frequency,0.804996439,0.671260224,0.0001,,,
62,219.6426717230793,236.13425855581949,delta_decay_PVL,Frequency,0.148896553,0.0203316521,0.0001,0.0001,4.9999,
62,217.81699705874647,227.71194915839064,delta_decay_win,Frequency,0.07143273,0.0001,0.0001,,,
62,219.9322356443464,236.42382247708656,delta_decay_PVL_win,Frequency,3.77441547,0.00140208968,0.862380557,0.0001,0.0001,
62,215.281309628551,228.47457909474315,delta_asymmetric_decay_win,Frequency,1.50919568,0.890624858,0.532669017,,,0.0001
63,278.4291060128694,288.3240581125135,delta_decay,Baseline,0.34344829,0.9999,0.9999,,,
63,282.3710881463918,298.86267497913195,delta_decay_PVL,Baseline,0.31614635,0.9999,0.9999,0.9999,1.78245966,
63,265.2668032458483,275.1617553454924,delta_decay_win,Baseline,0.859211993,0.951253034,0.0001,,,
63,267.3712512382233,283.8628380709636,delta_decay_PVL_win,Baseline,0.883961805,0.990041123,0.00149270332,0.9999,3.54251549,
63,261.70533699709733,274.89860646328947,delta_asymmetric_decay_win,Baseline,1.42883198,0.67470903,0.0001,,,0.0001
63,216.0681000678884,225.9630521675325,delta_decay,Frequency,0.06446711,0.0001,0.0001,,,
63,215.5601232538563,232.05171008659647,delta_decay_PVL,Frequency,0.06507226,0.0001,0.0001,0.0001,0.0001,
63,211.56215404455224,221.45710614419636,delta_decay_win,Frequency,0.06507244,0.0001,0.0001,,,
63,214.093873170645,230.5854600033852,delta_decay_PVL_win,Frequency,3.76420108,0.0012757253,0.872923783,0.0001,0.0001,
63,210.02985637271956,223.22312583891167,delta_asymmetric_decay_win,Frequency,0.0670053675,0.0001,0.0001,,,0.188122243
64,275.9992318421065,285.8941839417506,delta_decay,Baseline,0.533179,0.90184901,0.03076628,,,
64,276.1667541591475,292.6583409918877,delta_decay_PVL,Baseline,0.501911048,0.732072844,0.0001,0.9999,4.9999,
64,274.55076393217684,284.4457160318209,delta_decay_win,Baseline,0.60775816,0.97999042,0.14401612,,,
64,277.3640031047988,293.855589937539,delta_decay_PVL_win,Baseline,0.66806369,0.9999,0.13774199,0.79424068,0.08051339,
64,276.40751077125515,289.6007802374473,delta_asymmetric_decay_win,Baseline,0.61172911,0.9999,0.17865275,,,0.98505736
64,263.7777977334558,273.67274983309994,delta_decay,Frequency,1.75261728,0.0153453,0.9999,,,
64,266.0554771695352,282.5470640022754,delta_decay_PVL,Frequency,3.33320055,0.00318268129,0.9999,0.299228216,0.0001,
64,264.3322401699708,274.2271922696149,delta_decay_win,Frequency,0.67618424,0.05452775,0.74826313,,,
64,267.43027209584164,283.92185892858186,delta_decay_PVL_win,Frequency,3.00160432,0.000978479002,0.944910133,0.0001,4.9999,
64,265.97801934507885,279.171288811271,delta_asymmetric_decay_win,Frequency,1.09922954,0.79238006,0.69432416,,,0.08703123
65,257.8484116123301,267.7433637119741,delta_decay,Baseline,0.75019704,0.21843745,0.36755661,,,
65,258.74380096033804,275.2353877930782,delta_decay_PVL,Baseline,1.16222386,0.241542238,0.82061031,0.0001,0.0001,
65,261.7913332268564,271.68628532650047,delta_decay_win,Baseline,0.78680858,0.40089168,0.4378228,,,
65,260.5723082042714,277.06389503701155,delta_decay_PVL_win,Baseline,0.595030138,0.233406076,0.572703062,0.0001,3.05423066,
65,259.8547891561238,273.0480586223159,delta_asymmetric_decay_win,Baseline,0.74161805,0.27637331,0.51627052,,,0.91496239
65,269.6440951531665,279.53904725281063,delta_decay,Frequency,0.60787595,0.9999,0.9999,,,
65,237.37579002663423,253.86737685937445,delta_decay_PVL,Frequency,3.01652684,0.00228673293,0.9999,0.0001,4.9999,
65,269.6666686859433,279.5616207855874,delta_decay_win,Frequency,0.63921162,0.9999,0.93167582,,,
65,268.149070685651,284.6406575183912,delta_decay_PVL_win,Frequency,0.972571322,0.42042855,0.9999,0.0001,0.0114622642,
65,253.91799919825635,267.11126866444846,delta_asymmetric_decay_win,Frequency,4.50661594,0.0001,0.495275728,,,0.0180180766
66,182.66529308893055,192.5602451885747,delta_decay,Baseline,0.09924285,0.0001,0.0001,,,
66,186.0677541847328,202.55934101747297,delta_decay_PVL,Baseline,4.9999,0.000128067542,0.999547706,0.9999,0.0001,
66,167.52523617512648,177.4201882747706,delta_decay_win,Baseline,2.71101167,0.00341963,0.46405025,,,
66,171.29323528518148,187.7848221179217,delta_decay_PVL_win,Baseline,2.71095675,0.00341998592,0.463339485,0.762842772,0.0001,
66,169.28381657583944,182.4770860420316,delta_asymmetric_decay_win,Baseline,2.7125862,0.00346362036,0.468606979,,,0.0001
66,273.5852301757862,283.4801822754303,delta_decay,Frequency,4.9999,0.0001,0.999868346,,,
66,277.49663469219627,293.9882215249364,delta_decay_PVL,Frequency,3.23293665,0.0001,0.998853255,0.260299042,1.48116448,
66,273.6703558485031,283.5653079481472,delta_decay_win,Frequency,4.9999,0.000208869999,0.9999,,,
66,277.4877600038109,293.97934683655103,delta_decay_PVL_win,Frequency,4.9999,0.00016255474,0.9999,0.239692981,1.68362654,
66,275.6294018313393,288.8226712975315,delta_asymmetric_decay_win,Frequency,4.9999,0.000205780393,0.9999,,,0.000307893377
67,263.64496816771305,273.5399202673572,delta_decay,Baseline,1.28723002,0.02123297,0.9999,,,
67,262.02170707051926,278.51329390325947,delta_decay_PVL,Baseline,0.40680259,0.03602489,0.9999,0.03642155,4.81295543,
67,251.4478261629872,261.3427782626313,delta_decay_win,Baseline,3.37631475,0.000310333453,0.590041803,,,
67,257.757440463672,274.2490272964121,delta_decay_PVL_win,Baseline,0.634586042,0.0001,0.604427647,0.0001,0.0001,
67,252.22549319478333,265.4187626609755,delta_asymmetric_decay_win,Baseline,1.60514266,0.559620601,0.559261366,,,0.0001
67,242.1997400094993,252.09469210914335,delta_decay,Frequency,0.77831053,0.12386101,0.49051473,,,
67,255.2756108690546,271.7671977017948,delta_decay_PVL,Frequency,1.26326594,0.275839453,0.839537413,0.0602821999,0.0001,
67,263.39722649827075,273.29217859791487,delta_decay_win,Frequency,0.43422289,0.292914405,0.0001,,,
67,253.20799335457872,269.69958018731893,delta_decay_PVL_win,Frequency,0.73626533,0.27396086,0.50217192,0.12158663,4.9999,
67,254.2600648360277,267.4533343022199,delta_asymmetric_decay_win,Frequency,0.457539954,0.25263043,0.0001,,,0.700582001
68,281.87258045395333,291.76753255359745,delta_decay,Baseline,0.0001,0.0001,0.9999,,,
68,281.5744570990659,298.0660439318061,delta_decay_PVL,Baseline,0.183587494,0.9999,0.0001,0.0001,4.9999,
68,280.05073038471824,289.94568248436235,delta_decay_win,Baseline,0.426473752,0.0001,0.871952963,,,
68,284.0486317762496,300.5402186089898,delta_decay_PVL_win,Baseline,0.427468954,0.0001,0.87228898,0.0001,0.0001,
68,281.5814810695577,294.7747505357499,delta_asymmetric_decay_win,Baseline,0.0284538872,0.0001,0.0001,,,0.915050995
68,280.7340107213204,290.6289628209645,delta_decay,Frequency,0.01821413,0.0001,0.0001,,,
68,282.6135233193386,299.10511015207874,delta_decay_PVL,Frequency,0.01721578,0.0001,0.0001,0.0001,0.0001,
68,278.37394631673726,288.2688984163814,delta_decay_win,Frequency,0.02242331,0.00250061,0.0937928,,,
68,279.2486600351967,295.7402468679369,delta_decay_PVL_win,Frequency,3.56861045,0.000225656773,0.797050675,0.240311966,0.0726193644,
68,279.429475374869,292.62274484106115,delta_asymmetric_decay_win,Frequency,0.0199850916,0.0001,0.0001,,,0.9999
69,272.32258215196225,282.2175342516064,delta_decay,Baseline,0.289271121,0.134722003,0.0001,,,
69,274.63998712490155,291.13157395764176,delta_decay_PVL,Baseline,0.659879513,0.9999,0.440670247,0.9999,0.0001,
69,270.4568949749289,280.351847074573,delta_decay_win,Baseline,0.62418151,0.8063517,0.38553599,,,
69,272.79541617640206,289.28700300914227,delta_decay_PVL_win,Baseline,0.698023322,0.9999,0.336674374,0.450371442,0.0001,
69,271.52822185966284,284.72149132585497,delta_asymmetric_decay_win,Baseline,0.72826916,0.98145079,0.31952719,,,0.06848807
69,197.28704946146632,207.18200156111044,delta_decay,Frequency,0.06859,0.0001,0.0001,,,
69,123.89013897351992,140.3817258062601,delta_decay_PVL,Frequency,3.29494747,0.0485283098,0.986394587,0.0001,0.0001,
69,166.825835745841,176.72078784548512,delta_decay_win,Frequency,4.99112819,0.00201427876,0.603610343,,,
69,154.49708217299946,170.98866900573964,delta_decay_PVL_win,Frequency,2.12669558,0.0240723956,0.834271983,0.0001,4.9999,
69,167.43099039244223,180.6242598586344,delta_asymmetric_decay_win,Frequency,4.98958218,0.0018589479,0.61714446,,,0.00795735757
70,69.08926509079379,78.98421719043789,delta_decay,Baseline,1.82229905,0.21493777,0.65896495,,,
70,69.11524601933237,85.60683285207256,delta_decay_PVL,Baseline,1.33579257,0.22576569,0.42005773,0.70882193,4.9999,
70,66.61858752211234,76.51353962175644,delta_decay_win,Baseline,1.0788582,0.14258286,0.05881144,,,
70,67.69730500727974,84.18889184001992,delta_decay_PVL_win,Baseline,1.69907492,0.12342297,0.16891327,0.02582291,4.9999,
70,65.91252368100764,79.10579314719979,delta_asymmetric_decay_win,Baseline,1.87912184,0.12778462,0.10964292,,,0.9999
70,219.42319660598616,229.31814870563028,delta_decay,Frequency,1.10726897,0.0844857,0.9999,,,
70,221.32563396408983,237.81722079683,delta_decay_PVL,Frequency,1.14775381,0.0946633439,0.9999,0.748854713,0.0001,
70,198.62310822694832,208.51806032659243,delta_decay_win,Frequency,2.7283263,0.0001,0.300088481,,,
70,202.6255749761121,219.11716180885225,delta_decay_PVL_win,Frequency,2.72832605,0.0001,0.300086187,0.9999,0.852660814,
70,186.2291072802724,199.4223767464645,delta_asymmetric_decay_win,Frequency,3.05495358,0.0001,0.241330144,,,0.256734423
71,276.0432010846748,285.93815318431894,delta_decay,Baseline,1.16063671,0.01798808,0.99575596,,,
71,279.9163514755236,296.40793830826374,delta_decay_PVL,Baseline,0.743547123,0.0466193005,0.970000619,0.9999,0.0001,
71,276.2570249722688,286.15197707191294,delta_decay_win,Baseline,0.88945997,0.026479,0.9999,,,
71,280.19264488198206,296.6842317147223,delta_decay_PVL_win,Baseline,0.853216351,0.032192008,0.9999,0.9999,0.0001,
71,271.96068355266306,285.1539530188552,delta_asymmetric_decay_win,Baseline,1.15432249,0.81223703,0.13087241,,,0.0349372
71,271.4282607760478,281.3232128756919,delta_decay,Frequency,0.05449039,0.0001,0.0001,,,
71,263.9105503184284,280.40213715116863,delta_decay_PVL,Frequency,0.04597688,0.0001,0.0001,0.0001,0.0001,
71,259.3709372500455,269.2658893496896,delta_decay_win,Frequency,0.05747355,0.00242416,0.07819419,,,
71,260.32807047371125,276.81965730645146,delta_decay_PVL_win,Frequency,4.34976912,0.000576864048,0.744647857,0.0001,0.0001,
71,258.83332841698206,272.0265978831742,delta_asymmetric_decay_win,Frequency,0.11727246,0.01622361,0.19550928,,,0.99342505
72,281.5935295330981,291.4884816327422,delta_decay,Baseline,1.86611762,0.00160473349,0.9999,,,
72,285.4319976750745,301.92358450781467,delta_decay_PVL,Baseline,1.54260578,0.00161137543,0.9999,0.964038721,4.9999,
72,281.83045515670034,291.72540725634445,delta_decay_win,Baseline,3.67196717,0.0001,0.9999,,,
72,285.5989247860996,302.09051161883974,delta_decay_PVL_win,Baseline,3.84314455,0.0001,0.9999,0.9999,4.9999,
72,283.03269214103983,296.225961607232,delta_asymmetric_decay_win,Baseline,0.900174329,0.0001,0.9999,,,0.0642280232
72,209.2797520221114,219.17470412175552,delta_decay,Frequency,1.22461124,0.40318798,0.9999,,,
72,209.7057200274452,226.19730686018536,delta_decay_PVL,Frequency,1.39763703,0.4280145,0.9999,0.44780903,0.25917959,
72,209.9953772295482,219.89032932919235,delta_decay_win,Frequency,1.20826276,0.41567193,0.9999,,,
72,211.40053367415743,227.8921205068976,delta_decay_PVL_win,Frequency,1.26486539,0.45173995,0.9999,0.56206177,0.60787913,
72,210.193018902238,223.3862883684301,delta_asymmetric_decay_win,Frequency,1.22628085,0.3369121,0.9999,,,0.55561418
73,269.8334212516766,279.7283733513207,delta_decay,Baseline,0.131438312,0.0405108384,0.0001,,,
73,262.6350647714429,279.12665160418305,delta_decay_PVL,Baseline,0.10179712,0.0224527127,0.0001,0.0001,0.0001,
73,253.42091809557,263.3158701952141,delta_decay_win,Baseline,0.37428857,0.01189762,0.54350963,,,
73,257.1569025501524,273.64848938289254,delta_decay_PVL_win,Baseline,0.564821535,0.0104867884,0.615782845,0.986265649,0.0001,
73,254.68746216661737,267.8807316328095,delta_asymmetric_decay_win,Baseline,0.460811098,0.00993343499,0.572050295,,,0.0001
73,261.3522040113962,271.24715611104034,delta_decay,Frequency,0.39729846,0.13160168,0.10049406,,,
73,261.0526650633335,277.54425189607366,delta_decay_PVL,Frequency,0.393571697,0.282203073,0.0001,0.749538855,4.9999,
73,261.2548921608941,271.1498442605382,delta_decay_win,Frequency,0.7624612,0.20235164,0.73432243,,,
73,264.68634552576634,281.1779323585065,delta_decay_PVL_win,Frequency,0.833558655,0.207677711,0.781534198,0.9999,0.0001,
73,262.5667229939238,275.75999246011594,delta_asymmetric_decay_win,Frequency,0.76149127,0.20235091,0.68626993,,,0.12323281
74,281.8612362318483,291.7561883314924,delta_decay,Baseline,0.01966732,0.9999,0.9999,,,
74,285.2707253191509,301.76231215189114,delta_decay_PVL,Baseline,0.05300228,0.9999,0.9999,0.41005293,4.9999,
74,281.73799975625525,291.63295185589936,delta_decay_win,Baseline,0.0439191019,0.0001,0.786424098,,,
74,285.2040336662476,301.6956204989877,delta_decay_PVL_win,Baseline,0.05902377,0.9999,0.9999,0.44671692,4.9999,
74,283.0493318519399,296.242601318132,delta_asymmetric_decay_win,Baseline,0.238913418,0.0001,0.944904922,,,0.765403554
74,281.8725808407742,291.76753294041833,delta_decay,Frequency,0.0001,0.0001,0.9999,,,
74,285.8725804550017,302.3641672877419,delta_decay_PVL,Frequency,0.0001,0.0001,0.9999,0.9999,0.0001,
74,281.87258049543044,291.76753259507456,delta_decay_win,Frequency,0.0001,0.0001,0.9999,,,
74,285.8725804841791,302.3641673169193,delta_decay_PVL_win,Frequency,0.0001,0.0001,0.9999,0.9999,0.000100033173,
74,283.79934166446475,296.9926111306569,delta_asymmetric_decay_win,Frequency,0.09966783,0.00986153,0.9999,,,0.9999
75,269.4693393852035,279.3642914848476,delta_decay,Baseline,0.09096539,0.0001,0.0001,,,
75,268.40169178358315,284.8932786163233,delta_decay_PVL,Baseline,0.125490437,0.0001,0.0001,0.9999,0.0001,
75,269.4837661688043,279.37871826844844,delta_decay_win,Baseline,4.9999,0.000437083054,0.988218552,,,
75,268.4466455701416,284.9382324028818,delta_decay_PVL_win,Baseline,4.9999,0.000608948037,0.9999,0.9999,0.0001,
75,266.7784661144784,279.9717355806705,delta_asymmetric_decay_win,Baseline,3.65034613,0.00277516372,0.9999,,,0.0001
75,268.27646208551016,278.1714141851543,delta_decay,Frequency,4.9999,0.000143383589,0.999863966,,,
75,271.6484300216811,288.14001685442133,delta_decay_PVL,Frequency,4.99989994,0.000230682448,0.999869951,0.565590053,0.0001,
75,272.34882070145693,282.24377280110104,delta_decay_win,Frequency,4.9999,0.000193786393,0.9999,,,
75,275.3751159670547,291.8667027997949,delta_decay_PVL_win,Frequency,4.9999,0.000166967646,0.9999,0.9999,4.9999,
75,273.21915250832205,286.4124219745142,delta_asymmetric_decay_win,Frequency,4.9999,0.000142358704,0.9999,,,0.00120938466
76,281.69717692043696,291.5921290200811,delta_decay,Baseline,0.0051132,0.0001,0.0001,,,
76,285.2862647365541,301.7778515692943,delta_decay_PVL,Baseline,0.267114219,0.564497279,0.9999,0.9999,0.0001,
76,281.11670451632875,291.01165661597287,delta_decay_win,Baseline,0.243877113,0.996143635,0.0001,,,
76,285.1898680194173,301.68145485215746,delta_decay_PVL_win,Baseline,0.269896727,0.93625299,0.0718689595,0.9999,0.0001,
76,282.8128838309806,296.0061532971727,delta_asymmetric_decay_win,Baseline,0.35397454,0.9999,0.25906085,,,0.22738365
76,252.1075247069961,262.0024768066402,delta_decay,Frequency,0.8997434,0.3600122,0.00855864,,,
76,235.8482271152417,252.33981394798192,delta_decay_PVL,Frequency,0.81072243,0.351205958,0.0001,0.215577103,0.0001,
76,245.945279672729,255.8402317723731,delta_decay_win,Frequency,0.704966204,0.213931661,0.0001,,,
76,237.44229401249615,253.9338808452364,delta_decay_PVL_win,Frequency,0.682232685,0.337721469,0.0001,0.0367643901,0.0001,
76,239.4485126691562,252.64178213534836,delta_asymmetric_decay_win,Frequency,0.862207608,0.298695104,0.0001,,,0.999186147
77,278.56445192094577,288.4594040205899,delta_decay,Baseline,0.33900477,0.66274148,0.9999,,,
77,281.8176899370368,298.30927676977694,delta_decay_PVL,Baseline,0.2607076,0.61525007,0.9999,0.9999,4.9999,
77,278.98116157712457,288.8761136767687,delta_decay_win,Baseline,0.31983681,0.60294077,0.9999,,,
77,282.0576534180934,298.5492402508336,delta_decay_PVL_win,Baseline,0.25593672,0.5827339,0.9999,0.9999,4.9999,
77,280.36933673908527,293.5626062052774,delta_asymmetric_decay_win,Baseline,0.308991,0.9999,0.9999,,,0.29587362
77,256.8705666262882,266.76551872593234,delta_decay,Frequency,0.0640106,0.0001,0.0001,,,
77,257.56519891118546,274.0567857439257,delta_decay_PVL,Frequency,0.060076957,0.0001,0.000100000035,0.0001,0.396168647,
77,253.8403971376199,263.735349237264,delta_decay_win,Frequency,0.05995342,0.0001,0.0001,,,
77,257.55655725608074,274.04814408882095,delta_decay_PVL_win,Frequency,4.9999,0.000282500575,0.9999,0.0001,0.389235464,
77,255.84039585725523,269.0336653234474,delta_asymmetric_decay_win,Frequency,0.05995342,0.0001,0.0001,,,0.01973843
78,264.65959567733626,274.5545477769804,delta_decay,Baseline,1.0452444,0.03550324,0.97795279,,,
78,266.7203079979621,283.2118948307024,delta_decay_PVL,Baseline,2.22407887,0.00260191015,0.9999,0.0001,4.9999,
78,261.3582501653261,271.25320226497024,delta_decay_win,Baseline,0.68622402,0.02818415,0.71568189,,,
78,265.151088482374,281.64267531511416,delta_decay_PVL_win,Baseline,0.78131349,0.03041632,0.73750069,0.9999,0.01002123,
78,262.88149663420575,276.0747661003979,delta_asymmetric_decay_win,Baseline,0.773456455,0.0286980075,0.735601117,,,0.0001
78,276.4622870870005,286.3572391866446,delta_decay,Frequency,0.47407396,0.69591205,0.9999,,,
78,280.28007625356213,296.7716630863023,delta_decay_PVL,Frequency,0.529968765,0.684798269,0.9999,0.9999,0.0001,
78,276.5475919928309,286.44254409247503,delta_decay_win,Frequency,0.47843345,0.69104343,0.9999,,,
78,280.28005719992626,296.7716440326665,delta_decay_PVL_win,Frequency,0.529977841,0.684780631,0.9999,0.9999,0.0001,
78,277.747097697998,290.9403671641901,delta_asymmetric_decay_win,Frequency,0.49481733,0.9999,0.9999,,,0.41962495
79,281.8226936540351,291.7176457536792,delta_decay,Baseline,1.05810052,0.00161948,0.9999,,,
79,285.0086999321369,301.5002867648772,delta_decay_PVL,Baseline,0.101083,0.36616248,0.9999,0.25337769,4.9999,
79,281.85068458654246,291.7456366861866,delta_decay_win,Baseline,2.92166961,0.0001,0.9999,,,
79,285.13357396892883,301.62516080166904,delta_decay_PVL_win,Baseline,0.09373004,0.37291704,0.9999,0.26301768,4.9999,
79,283.6763851957256,296.8696546619177,delta_asymmetric_decay_win,Baseline,0.11561692,0.14893976,0.9999,,,0.81028747
79,279.12988874106065,289.0248408407048,delta_decay,Frequency,4.15722719,0.000200940303,0.9999,,,
79,282.55736004572384,299.048946878464,delta_decay_PVL,Frequency,3.23007476,0.000322842861,0.9999,0.0001,4.9999,
79,279.31425487263044,289.20920697227456,delta_decay_win,Frequency,4.44969284,0.000109575013,0.76868314,,,
79,282.9644752644909,299.4560620972311,delta_decay_PVL_win,Frequency,0.22775473,0.0787173687,0.9999,0.0001,4.9999,
79,281.68954487763807,294.8828143438302,delta_asymmetric_decay_win,Frequency,0.44717887,0.08830999,0.9999,,,0.22596299
80,281.039566620613,290.9345187202572,delta_decay,Baseline,2.89147346,0.000599443103,0.9999,,,
80,280.1935459012012,296.6851327339414,delta_decay_PVL,Baseline,0.496674276,0.9999,0.0001,0.0001,0.0001,
80,272.6301359430872,282.52508804273134,delta_decay_win,Baseline,0.686875516,0.938725716,0.0001,,,
80,276.61805063485593,293.10963746759614,delta_decay_PVL_win,Baseline,0.696262587,0.969990035,0.0001,0.9999,0.0001,
80,274.61361523387086,287.806884700063,delta_asymmetric_decay_win,Baseline,0.690121434,0.958376347,0.0001,,,0.788834963
80,278.1766868416233,288.0716389412674,delta_decay,Frequency,0.417077325,0.805238756,0.0001,,,
80,279.22154109130577,295.7131279240459,delta_decay_PVL,Frequency,0.368172713,0.501910602,0.0001,0.0001,0.0001,
80,281.361015393321,291.2559674929651,delta_decay_win,Frequency,0.153170662,0.439616278,0.0001,,,
80,277.242718205205,293.7343050379452,delta_decay_PVL_win,Frequency,0.48108697,0.999787963,0.259251895,0.0001,1.79441444,
80,275.5620070547065,288.75527652089863,delta_asymmetric_decay_win,Frequency,0.399014173,0.362769234,0.0001,,,0.9999
81,232.182043143093,242.07699524273715,delta_decay,Baseline,0.108754613,0.0001,0.0001,,,
81,233.5280509696359,250.01963780237608,delta_decay_PVL,Baseline,1.77548259,0.0001,0.97695607,0.9999,0.0001,
81,232.1312900237676,242.0262421234117,delta_decay_win,Baseline,4.97475256,0.000584613795,0.945526745,,,
81,233.2920725234584,249.7836593561985,delta_decay_PVL_win,Baseline,4.9999,0.000674442123,0.910054237,0.9999,0.0001,
81,231.3370546899971,244.53032415618924,delta_asymmetric_decay_win,Baseline,1.37262324,0.0399760531,0.682178235,,,0.0001
81,182.34590337761932,192.24085547726347,delta_decay,Frequency,2.03467442,0.18740231,0.9999,,,
81,181.7052636003491,198.19685043308928,delta_decay_PVL,Frequency,1.75671694,0.437634523,0.86830522,0.9999,0.0001,
81,187.23801230940592,197.13296440905003,delta_decay_win,Frequency,1.83250257,0.24103347,0.9999,,,
81,189.6082883540675,206.09987518680768,delta_decay_PVL_win,Frequency,1.83547794,0.24227863,0.9999,0.9999,0.0001,
81,184.2881458306288,197.48141529682096,delta_asymmetric_decay_win,Frequency,2.28098643,0.9999,0.73617998,,,0.13408371
82,246.38467753459156,256.2796296342356,delta_decay,Baseline,0.91831806,0.85254628,0.9999,,,
82,248.52691237943915,265.01849921217934,delta_decay_PVL,Baseline,0.939676918,0.864032594,0.9999,0.9999,0.0001,
82,246.42727939655728,256.32223149620137,delta_decay_win,Baseline,0.91634018,0.85212367,0.9999,,,
82,248.5801891252492,265.0717759579894,delta_decay_PVL_win,Baseline,0.937447276,0.86386343,0.9999,0.9999,0.0001,
82,247.8102175814288,261.0034870476209,delta_asymmetric_decay_win,Baseline,0.94900043,0.92392035,0.9999,,,0.57325062
82,281.8725861480933,291.76753824773743,delta_decay,Frequency,0.0001,0.0001,0.9999,,,
82,285.84727695531046,302.3388637880506,delta_decay_PVL,Frequency,0.03238967,0.26590832,0.9999,0.80260327,4.9999,
82,281.8725863670419,291.767538466686,delta_decay_win,Frequency,0.0001,0.0001,0.9999,,,
82,285.81629709424726,302.3078839269874,delta_decay_PVL_win,Frequency,0.04688197,0.25258786,0.9999,0.68917743,4.9999,
82,277.71925931375824,290.9125287799504,delta_asymmetric_decay_win,Frequency,1.01306846,0.0001,0.9999,,,0.285405535
